year,ticker,date,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncome,netIncomeRatio,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,netIncome_cf,depreciationAndAmortization_cf,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory_cf,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024,AAPL,2024/09/28,FY,3.91035E+11,2.10352E+11,1.80683E+11,31370000000,0,0,26097000000,0,57467000000,2.67819E+11,0,0,11445000000,1.34661E+11,1.23216E+11,269000000,1.23485E+11,29749000000,93736000000,0.239712558,29943000000,35228000000,65171000000,66243000000,7286000000,14287000000,1.52987E+11,45680000000,0,0,0,91479000000,19499000000,55335000000,2.11993E+11,0,3.6498E+11,68960000000,22511000000,26601000000,8249000000,50071000000,1.76392E+11,96548000000,0,0,35090000000,1.31638E+11,0,12430000000,3.0803E+11,0,83276000000,-19154000000,-7172000000,0,56950000000,56950000000,3.6498E+11,0,3.6498E+11,1.26707E+11,1.19059E+11,89116000000,93736000000,11445000000,0,11688000000,3651000000,-5144000000,-1046000000,6020000000,3821000000,-2266000000,1.18254E+11,-9447000000,0,-48656000000,62346000000,-1308000000,2935000000,-5998000000,0,-94949000000,-15234000000,-5802000000,-1.21983E+11,0,-794000000,29943000000,30737000000,1.18254E+11,-9447000000,1.08807E+11
2023,AAPL,2023/09/30,FY,3.83285E+11,2.14137E+11,1.69148E+11,29915000000,0,0,24932000000,0,54847000000,2.68984E+11,3750000000,3933000000,11519000000,1.2582E+11,1.14301E+11,-565000000,1.13736E+11,16741000000,96995000000,0.253062343,29965000000,31590000000,61555000000,60985000000,6331000000,14695000000,1.43566E+11,54376000000,0,0,0,1.00544E+11,17852000000,36245000000,2.09017E+11,0,3.52583E+11,62611000000,17382000000,8819000000,8061000000,48435000000,1.45308E+11,1.06548E+11,0,0,38581000000,1.45129E+11,0,12842000000,2.90437E+11,0,73812000000,-214000000,-11452000000,0,62146000000,62146000000,3.52583E+11,0,3.52583E+11,1.32134E+11,1.11088E+11,81123000000,96995000000,11519000000,0,10833000000,-6577000000,-417000000,-1618000000,-1889000000,-2653000000,-2227000000,1.10543E+11,-10959000000,0,-29513000000,45514000000,-1337000000,3705000000,-9901000000,0,-77550000000,-15025000000,-6012000000,-1.08488E+11,0,5760000000,30737000000,24977000000,1.10543E+11,-10959000000,99584000000
2022,AAPL,2022/09/24,FY,3.94328E+11,2.23546E+11,1.70782E+11,26251000000,0,0,25094000000,0,51345000000,2.74891E+11,2825000000,2931000000,11104000000,1.30541E+11,1.19437E+11,-334000000,1.19103E+11,19300000000,99803000000,0.253096407,23646000000,24658000000,48304000000,60932000000,4946000000,21223000000,1.35405E+11,52534000000,0,0,0,1.20805E+11,15375000000,28636000000,2.1735E+11,0,3.52755E+11,64115000000,22773000000,6552000000,7912000000,52630000000,1.53982E+11,1.09707E+11,0,0,38394000000,1.48101E+11,0,12411000000,3.02083E+11,0,64849000000,-3068000000,-11109000000,0,50672000000,50672000000,3.52755E+11,0,3.52755E+11,1.45463E+11,1.3248E+11,1.08834E+11,99803000000,11104000000,895000000,9038000000,1200000000,-9343000000,1484000000,9448000000,-389000000,111000000,1.22151E+11,-10708000000,-306000000,-76923000000,67363000000,-2086000000,-22354000000,-4078000000,0,-89402000000,-14841000000,-2428000000,-1.10749E+11,0,-10952000000,24977000000,35929000000,1.22151E+11,-10708000000,1.11443E+11
2021,AAPL,2021/09/25,FY,3.65817E+11,2.12981E+11,1.52836E+11,21914000000,0,0,21973000000,0,43887000000,2.56868E+11,2843000000,2645000000,11284000000,1.23136E+11,1.08949E+11,258000000,1.09207E+11,14527000000,94680000000,0.258817934,34940000000,27699000000,62639000000,51506000000,6580000000,14111000000,1.34836E+11,49527000000,0,0,0,1.27877E+11,0,38762000000,2.16166E+11,0,3.51002E+11,54763000000,17141000000,0,7612000000,45965000000,1.25481E+11,1.19381E+11,0,0,43050000000,1.62431E+11,0,11803000000,2.87912E+11,0,57365000000,5562000000,163000000,0,63090000000,63090000000,3.51002E+11,0,3.51002E+11,1.55576E+11,1.36522E+11,1.01582E+11,94680000000,11284000000,-4774000000,7906000000,-4911000000,-14028000000,-2642000000,12326000000,-567000000,-147000000,1.04038E+11,-11085000000,-33000000,-1.09558E+11,1.06483E+11,-385000000,-14545000000,11643000000,1105000000,-85971000000,-14467000000,-4558000000,-93353000000,0,-3860000000,35929000000,39789000000,1.04038E+11,-11085000000,92953000000
2020,AAPL,2020/09/26,FY,2.74515E+11,1.69559E+11,1.04956E+11,18752000000,0,0,19916000000,0,38668000000,2.08227E+11,3763000000,2873000000,11056000000,81020000000,66288000000,803000000,67091000000,9680000000,57411000000,0.209136113,38016000000,52927000000,90943000000,37445000000,4061000000,11264000000,1.43713E+11,45336000000,0,0,0,1.00887E+11,0,33952000000,1.80175E+11,0,3.23888E+11,42296000000,15229000000,0,6643000000,41224000000,1.05392E+11,1.07049E+11,0,0,46108000000,1.53157E+11,0,9842000000,2.58549E+11,0,50779000000,14966000000,-406000000,0,65339000000,65339000000,3.23888E+11,0,3.23888E+11,1.53814E+11,1.22278E+11,84262000000,57411000000,11056000000,-215000000,6829000000,5690000000,8470000000,-127000000,-4062000000,1409000000,-97000000,80674000000,-7309000000,-1524000000,-1.14938E+11,1.20391E+11,-909000000,-4289000000,2499000000,880000000,-72358000000,-14081000000,-2880000000,-86820000000,0,-10435000000,39789000000,50224000000,80674000000,-7309000000,73365000000
2024,TSLA,2024/12/31,FY,97690000000,80240000000,17450000000,4540000000,0,0,5150000000,684000000,10374000000,90614000000,1569000000,350000000,5368000000,14708000000,7076000000,1914000000,8990000000,1837000000,7130000000,0.072985976,16139000000,20424000000,36563000000,4418000000,12017000000,5362000000,58360000000,51507000000,244000000,1226000000,1470000000,0,6524000000,4215000000,63716000000,-6000000,1.2207E+11,12474000000,3263000000,1367000000,4161000000,7556000000,28821000000,10360000000,3317000000,0,5892000000,19569000000,0,5745000000,48390000000,0,3000000,35209000000,-670000000,38371000000,72913000000,73680000000,1.2207E+11,767000000,1.2207E+11,20424000000,13623000000,-2516000000,7153000000,5368000000,477000000,1999000000,81000000,-1083000000,937000000,3588000000,-3361000000,-155000000,14923000000,-11342000000,0,-35955000000,28510000000,0,-18787000000,2863000000,0,0,0,990000000,3853000000,-141000000,-152000000,17037000000,17189000000,14923000000,-11342000000,3581000000
2023,TSLA,2023/12/31,FY,96773000000,79113000000,17660000000,3969000000,0,0,4800000000,0,8769000000,87882000000,1066000000,156000000,4667000000,14796000000,8891000000,1082000000,9973000000,-5001000000,14999000000,0.154991578,16398000000,12696000000,29094000000,3508000000,13626000000,3388000000,49616000000,45123000000,253000000,362000000,615000000,0,6733000000,4531000000,57002000000,0,1.06618E+11,14431000000,3045000000,1204000000,3740000000,6328000000,28748000000,6528000000,3251000000,0,4482000000,14261000000,0,4916000000,43009000000,0,3000000,27882000000,-143000000,34892000000,62634000000,63609000000,1.06618E+11,975000000,1.06618E+11,12696000000,9573000000,-6825000000,14974000000,4667000000,-6349000000,1812000000,-2248000000,-586000000,-1195000000,2605000000,-3072000000,400000000,13256000000,-8899000000,-64000000,-19112000000,12491000000,0,-15584000000,2116000000,0,0,0,473000000,2589000000,4000000,265000000,17189000000,16924000000,13256000000,-8899000000,4357000000
2022,TSLA,2022/12/31,FY,81462000000,60609000000,20853000000,3075000000,0,0,3946000000,176000000,7197000000,67806000000,297000000,191000000,3747000000,17657000000,13656000000,63000000,13719000000,1132000000,12583000000,0.154464658,16253000000,5932000000,22185000000,2952000000,12839000000,2941000000,40917000000,36635000000,194000000,399000000,593000000,0,328000000,3865000000,41421000000,0,82338000000,15255000000,1987000000,1235000000,2810000000,5422000000,26709000000,3761000000,2804000000,82000000,3084000000,9731000000,0,3703000000,36440000000,0,3000000,12885000000,-361000000,32177000000,44704000000,45898000000,82338000000,1194000000,82338000000,5932000000,5748000000,-10505000000,12556000000,3543000000,0,1560000000,-3712000000,-1124000000,-6465000000,6029000000,-2152000000,777000000,14724000000,-7163000000,0,-5835000000,22000000,1003000000,-11973000000,-3866000000,0,0,0,-202000000,-3527000000,-444000000,-1220000000,16924000000,18144000000,14724000000,-7172000000,7552000000
2021,TSLA,2021/12/31,FY,53823000000,40217000000,13606000000,2593000000,0,0,4517000000,-27000000,7110000000,47327000000,56000000,371000000,2911000000,9625000000,6523000000,-180000000,6343000000,699000000,5524000000,0.102632704,17576000000,131000000,17707000000,1913000000,5757000000,1723000000,27100000000,31176000000,200000000,1517000000,1717000000,0,0,2134000000,35027000000,4000000,62131000000,10025000000,1957000000,1122000000,2372000000,4229000000,19705000000,6916000000,2052000000,24000000,1875000000,10843000000,0,3531000000,30548000000,0,1000000,329000000,54000000,29805000000,30189000000,31583000000,62131000000,1394000000,62131000000,131000000,8873000000,-8703000000,5519000000,2911000000,-149000000,2121000000,667000000,-130000000,-1709000000,4578000000,-2072000000,428000000,11497000000,-6514000000,0,-132000000,0,-1222000000,-7868000000,-5732000000,0,0,0,-178000000,-5203000000,-183000000,-1757000000,18144000000,19901000000,11497000000,-8014000000,3483000000
2020,TSLA,2020/12/31,FY,31536000000,24906000000,6630000000,1491000000,0,0,3145000000,0,4636000000,29542000000,30000000,748000000,2322000000,4224000000,1994000000,-840000000,1154000000,292000000,721000000,0.02286276,19384000000,0,19384000000,1886000000,4101000000,1346000000,26717000000,23378000000,207000000,313000000,520000000,0,0,1536000000,25434000000,-3000000,52148000000,6051000000,2418000000,777000000,2210000000,2792000000,14248000000,10861000000,1284000000,151000000,1925000000,14221000000,0,3008000000,28469000000,0,1000000,-5399000000,363000000,27260000000,22225000000,23679000000,52148000000,1454000000,52148000000,613000000,13279000000,-6105000000,690000000,2322000000,0,1734000000,184000000,-652000000,-422000000,930000000,328000000,1013000000,5943000000,-3232000000,-13000000,0,0,113000000,-3132000000,-2488000000,12269000000,0,0,192000000,9973000000,334000000,13118000000,19901000000,6783000000,5943000000,-3242000000,2701000000
2024,AMZN,2024/12/31,FY,6.37959E+11,3.26288E+11,3.11671E+11,88544000000,11359000000,43907000000,55266000000,99268000000,2.43078E+11,5.69366E+11,4677000000,2406000000,52795000000,1.23815E+11,68593000000,21000000,68614000000,9265000000,59248000000,0.092871172,78779000000,22423000000,1.01202E+11,55451000000,34214000000,0,1.90867E+11,3.28806E+11,23074000000,8602000000,31676000000,0,0,73545000000,4.34027E+11,0,6.24894E+11,94363000000,0,0,18103000000,66965000000,1.79431E+11,1.309E+11,0,0,28593000000,1.59493E+11,0,78277000000,3.38924E+11,0,111000000,1.72866E+11,-34000000,1.13027E+11,2.8597E+11,2.8597E+11,6.24894E+11,0,6.24894E+11,22423000000,1.309E+11,52121000000,59248000000,52795000000,-4648000000,22011000000,-15541000000,-3249000000,-1884000000,2972000000,-13380000000,2012000000,1.15877E+11,-82999000000,-7082000000,-26005000000,16403000000,5341000000,-94342000000,-11812000000,0,0,0,0,-11812000000,-1301000000,8422000000,82312000000,73890000000,1.15877E+11,-82999000000,32878000000
2023,AMZN,2023/12/31,FY,5.74785E+11,3.04739E+11,2.70046E+11,85622000000,11816000000,44370000000,56186000000,91386000000,2.33194E+11,5.37933E+11,2949000000,3182000000,48663000000,89402000000,36852000000,705000000,37557000000,7120000000,30425000000,0.052932836,73387000000,13393000000,86780000000,52253000000,33318000000,0,1.72351E+11,2.7669E+11,22789000000,7687000000,30476000000,0,0,48337000000,3.55503E+11,0,5.27854E+11,84981000000,0,0,15227000000,64709000000,1.64917E+11,1.35611E+11,0,0,25451000000,1.61062E+11,0,77297000000,3.25979E+11,0,109000000,1.13618E+11,-3040000000,91188000000,2.01875E+11,2.01875E+11,5.27854E+11,0,5.27854E+11,13393000000,1.35611E+11,62224000000,30425000000,48663000000,-5876000000,24023000000,-11541000000,-8348000000,1449000000,5473000000,-10115000000,-748000000,84946000000,-52729000000,-5839000000,-1488000000,5627000000,4596000000,-49833000000,-15879000000,0,0,0,0,-15879000000,403000000,19637000000,73890000000,54253000000,84946000000,-52729000000,32217000000
2022,AMZN,2022/12/31,FY,5.13983E+11,2.88831E+11,2.25152E+11,73213000000,11891000000,42238000000,54129000000,85562000000,2.12904E+11,5.01735E+11,989000000,2367000000,41921000000,38352000000,12248000000,-18184000000,-5936000000,-3217000000,-2722000000,-0.005295895,53888000000,16138000000,70026000000,42360000000,34405000000,0,1.46791E+11,2.52838E+11,20288000000,6097000000,26385000000,0,0,36661000000,3.15884E+11,0,4.62675E+11,79600000000,0,0,13227000000,62566000000,1.55393E+11,1.40118E+11,0,0,21121000000,1.61239E+11,0,72968000000,3.16632E+11,0,108000000,83193000000,-4487000000,67229000000,1.46043E+11,1.46043E+11,4.62675E+11,0,4.62675E+11,16138000000,1.40118E+11,86230000000,-2722000000,41921000000,-8148000000,19621000000,-20886000000,-21897000000,-2592000000,2945000000,658000000,16966000000,46752000000,-63645000000,-8316000000,-2565000000,31601000000,5324000000,-37601000000,15718000000,0,-6000000000,0,0,9718000000,-1093000000,17776000000,54253000000,36477000000,46752000000,-63645000000,-16893000000
2021,AMZN,2021/12/31,FY,4.69822E+11,2.72344E+11,1.97478E+11,56052000000,8823000000,32551000000,41374000000,75173000000,1.72599E+11,4.44943E+11,448000000,1809000000,34433000000,74393000000,24879000000,13272000000,38151000000,4791000000,33364000000,0.071014129,36220000000,59829000000,96049000000,32891000000,32640000000,0,1.6158E+11,2.16363E+11,15371000000,5107000000,20478000000,0,0,22128000000,2.58969E+11,0,4.20549E+11,78664000000,0,0,11827000000,51775000000,1.42266E+11,1.16395E+11,0,0,23643000000,1.40038E+11,0,67651000000,2.82304E+11,0,106000000,85915000000,-1376000000,53600000000,1.38245E+11,1.38245E+11,4.20549E+11,0,4.20549E+11,59829000000,1.16395E+11,80175000000,33364000000,34296000000,-310000000,12757000000,-19611000000,-18163000000,-9487000000,3602000000,4437000000,-14169000000,46327000000,-61053000000,-1985000000,-60157000000,59384000000,5657000000,-58154000000,6291000000,0,0,0,0,6291000000,-364000000,-5900000000,36477000000,42377000000,46327000000,-61053000000,-14726000000
2020,AMZN,2020/12/31,FY,3.86064E+11,2.33307E+11,1.52757E+11,42740000000,6668000000,22008000000,28676000000,58442000000,1.29858E+11,3.63165E+11,555000000,1647000000,25180000000,51005000000,22899000000,1279000000,24178000000,2863000000,21331000000,0.055252497,42122000000,42274000000,84396000000,24542000000,23795000000,0,1.32733E+11,1.50667E+11,15017000000,4981000000,19998000000,0,0,17797000000,1.88462E+11,0,3.21195E+11,72539000000,0,0,9708000000,44138000000,1.26385E+11,84389000000,0,0,17017000000,1.01406E+11,0,52573000000,2.27791E+11,0,5000000,52551000000,-180000000,41028000000,93404000000,93404000000,3.21195E+11,0,3.21195E+11,42274000000,84389000000,42267000000,21331000000,25251000000,-554000000,9208000000,13481000000,-8169000000,-2849000000,17480000000,7019000000,-2653000000,66064000000,-40140000000,-2325000000,-72479000000,50237000000,5096000000,-59611000000,-1104000000,0,0,0,0,-1104000000,618000000,5967000000,42377000000,36410000000,66064000000,-40140000000,25924000000
2024,MSFT,2024/06/30,FY,2.45122E+11,74114000000,1.71008E+11,29510000000,7609000000,24456000000,32065000000,0,61575000000,1.35689E+11,3157000000,2935000000,22287000000,1.33009E+11,1.09433E+11,-1646000000,1.07787E+11,19651000000,88136000000,0.359559729,18315000000,57216000000,75531000000,56924000000,1246000000,26033000000,1.59734E+11,1.54552E+11,1.1922E+11,27597000000,1.46817E+11,14600000000,0,36460000000,3.52429E+11,0,5.12163E+11,21996000000,8942000000,5017000000,57582000000,31749000000,1.25286E+11,58185000000,2602000000,2618000000,54995000000,1.184E+11,0,15497000000,2.43686E+11,0,1.00923E+11,1.73144E+11,-5590000000,0,2.68477E+11,2.68477E+11,5.12163E+11,0,5.12163E+11,71816000000,67127000000,48812000000,88136000000,22287000000,-4738000000,10734000000,1824000000,-7191000000,1284000000,3545000000,4186000000,305000000,1.18548E+11,-44477000000,-69132000000,-17732000000,35669000000,-1298000000,-96970000000,575000000,2002000000,-17254000000,-21771000000,-1309000000,-37757000000,-210000000,-16389000000,18315000000,34704000000,1.18548E+11,-44477000000,74071000000
2023,MSFT,2023/06/30,FY,2.11915E+11,65863000000,1.46052E+11,27195000000,7575000000,22759000000,30334000000,-223000000,57529000000,1.23392E+11,2994000000,1968000000,13861000000,1.0514E+11,88523000000,788000000,89311000000,16950000000,72361000000,0.341462379,34704000000,76552000000,1.11256E+11,48688000000,2500000000,21813000000,1.84257E+11,1.09987E+11,67886000000,9366000000,77252000000,9879000000,0,30601000000,2.27719E+11,0,4.11976E+11,18095000000,5247000000,4152000000,50901000000,25754000000,1.04149E+11,54718000000,2912000000,433000000,43541000000,1.01604E+11,0,12728000000,2.05753E+11,0,93718000000,1.18848E+11,-6343000000,0,2.06223E+11,2.06223E+11,4.11976E+11,0,4.11976E+11,86431000000,59965000000,25261000000,72361000000,13861000000,-6059000000,9611000000,-2388000000,-4087000000,1242000000,-2721000000,3178000000,196000000,87582000000,-28107000000,-1670000000,-37651000000,47864000000,-3116000000,-22680000000,-2750000000,1866000000,-22245000000,-19800000000,-1006000000,-43935000000,-194000000,20773000000,34704000000,13931000000,87582000000,-28107000000,59475000000
2022,MSFT,2022/06/30,FY,1.9827E+11,62650000000,1.3562E+11,24512000000,5900000000,21825000000,27725000000,-32000000,52237000000,1.14887E+11,2094000000,2063000000,14460000000,1.00239E+11,83383000000,333000000,83716000000,10978000000,72738000000,0.366863368,13931000000,90818000000,1.04749E+11,44261000000,3742000000,16932000000,1.69684E+11,87546000000,67524000000,11298000000,78822000000,6891000000,0,21897000000,1.95156E+11,0,3.6484E+11,19000000000,2749000000,4067000000,45538000000,23728000000,95082000000,58521000000,2870000000,230000000,41595000000,1.03216E+11,0,11489000000,1.98298E+11,0,86939000000,84281000000,-4678000000,0,1.66542E+11,1.66542E+11,3.6484E+11,0,3.6484E+11,97709000000,61270000000,47339000000,72738000000,14460000000,-5702000000,7502000000,446000000,-6834000000,-1123000000,2943000000,5460000000,-409000000,89035000000,-23886000000,-22038000000,-26456000000,44894000000,-2825000000,-30311000000,-9023000000,1841000000,-32696000000,-18135000000,-863000000,-58876000000,-141000000,-293000000,13931000000,14224000000,89035000000,-23886000000,65149000000
2021,MSFT,2021/06/30,FY,1.68088E+11,52232000000,1.15856E+11,20716000000,5107000000,20117000000,25224000000,98000000,45940000000,98172000000,2131000000,2346000000,11686000000,85134000000,69916000000,1186000000,71102000000,9831000000,61271000000,0.364517396,14224000000,1.16032E+11,1.30256E+11,38043000000,2636000000,13471000000,1.84406E+11,70803000000,49711000000,7800000000,57511000000,5984000000,0,15075000000,1.49373E+11,0,3.33779E+11,15163000000,8072000000,2174000000,41525000000,21723000000,88657000000,59703000000,2616000000,198000000,40617000000,1.03134E+11,0,9629000000,1.91791E+11,0,83111000000,57055000000,1822000000,0,1.41988E+11,1.41988E+11,3.33779E+11,0,3.33779E+11,1.22016E+11,67775000000,53551000000,61271000000,11686000000,-150000000,6118000000,-936000000,-6481000000,-737000000,2798000000,3484000000,-1249000000,76740000000,-20622000000,-8909000000,-62924000000,65800000000,-922000000,-27577000000,-3750000000,1693000000,-27385000000,-16521000000,-2523000000,-48486000000,-29000000,648000000,14224000000,13576000000,76740000000,-20622000000,56118000000
2020,MSFT,2020/06/30,FY,1.43015E+11,46078000000,96937000000,19269000000,5111000000,19598000000,24709000000,-40000000,43978000000,90056000000,2680000000,2591000000,12796000000,68423000000,52959000000,77000000,53036000000,8755000000,44281000000,0.309624865,13576000000,1.22951E+11,1.36527E+11,32011000000,1895000000,11482000000,1.81915E+11,52904000000,43351000000,7038000000,50389000000,2965000000,0,13138000000,1.19396E+11,0,3.01311E+11,12530000000,3749000000,2130000000,36000000000,17901000000,72310000000,67249000000,3180000000,204000000,40064000000,1.10697E+11,0,7671000000,1.83007E+11,0,80552000000,34566000000,3186000000,0,1.18304E+11,1.18304E+11,3.01311E+11,0,3.01311E+11,1.25916E+11,70998000000,57422000000,44281000000,12796000000,11000000,5289000000,-1483000000,-2577000000,168000000,3018000000,-2092000000,-219000000,60675000000,-15441000000,-2521000000,-77190000000,84170000000,-1241000000,-12223000000,-5518000000,1343000000,-22968000000,-15137000000,-3751000000,-46031000000,-201000000,2220000000,13576000000,11356000000,60675000000,-15441000000,45234000000
2025,NVDA,2025/01/26,FY,1.30497E+11,32639000000,97858000000,12914000000,0,0,3491000000,0,16405000000,49044000000,1786000000,247000000,1864000000,86137000000,81453000000,2573000000,84026000000,11146000000,72880000000,0.558480272,8589000000,34621000000,43210000000,23065000000,10080000000,3771000000,80126000000,8076000000,5188000000,807000000,5995000000,3387000000,10979000000,3038000000,31475000000,0,1.11601E+11,6310000000,288000000,0,837000000,10612000000,18047000000,9982000000,976000000,886000000,2383000000,14227000000,0,1807000000,32274000000,0,24000000,68038000000,28000000,11237000000,79327000000,79327000000,1.11601E+11,0,1.11601E+11,38008000000,10270000000,1681000000,72880000000,1864000000,-4477000000,4737000000,-9383000000,-13063000000,-4781000000,3357000000,5104000000,-1532000000,64089000000,-3236000000,-1007000000,-28061000000,11861000000,22000000,-20421000000,-1250000000,0,-33706000000,-834000000,-6569000000,-42359000000,0,1309000000,8589000000,7280000000,64089000000,-3236000000,60853000000
2024,NVDA,2024/01/28,FY,60922000000,16621000000,44301000000,8675000000,0,0,2654000000,0,11329000000,27950000000,866000000,257000000,1508000000,35583000000,32972000000,846000000,33818000000,4058000000,29760000000,0.488493484,7280000000,18704000000,25984000000,9999000000,5282000000,3080000000,44345000000,5260000000,4430000000,1112000000,5542000000,1321000000,6081000000,3179000000,21383000000,0,65728000000,2699000000,1478000000,296000000,764000000,5394000000,10631000000,9578000000,573000000,462000000,1506000000,12119000000,0,1347000000,22750000000,0,25000000,29817000000,27000000,13109000000,42978000000,42978000000,65728000000,0,65728000000,20025000000,11056000000,3776000000,29760000000,1508000000,-2489000000,3549000000,-3722000000,-6172000000,-98000000,1531000000,1017000000,-516000000,28090000000,-1069000000,-83000000,-19073000000,9783000000,-124000000,-10566000000,-1250000000,0,-9533000000,-395000000,-2455000000,-13633000000,0,3891000000,7280000000,3389000000,28090000000,-1069000000,27021000000
2023,NVDA,2023/01/29,FY,26974000000,11618000000,15356000000,7339000000,0,0,2440000000,1353000000,11132000000,22750000000,267000000,262000000,1544000000,5987000000,4224000000,-43000000,4181000000,-187000000,4368000000,0.161933714,3389000000,9907000000,13296000000,3827000000,5159000000,791000000,23073000000,4845000000,4372000000,1676000000,6048000000,299000000,3396000000,3521000000,18109000000,0,41182000000,1193000000,1426000000,467000000,354000000,3123000000,6563000000,10605000000,218000000,247000000,1448000000,12518000000,0,1078000000,19081000000,0,2000000,10171000000,-43000000,11971000000,22101000000,22101000000,41182000000,0,41182000000,10206000000,12031000000,8642000000,4368000000,1544000000,-2164000000,2709000000,-2207000000,822000000,-2554000000,-551000000,76000000,1391000000,5641000000,-1833000000,-49000000,-11982000000,21239000000,0,7375000000,0,0,-10039000000,-398000000,-1180000000,-11617000000,0,1399000000,3389000000,1990000000,5641000000,-1833000000,3808000000
2022,NVDA,2022/01/30,FY,26914000000,9439000000,17475000000,5268000000,0,0,2166000000,0,7434000000,16873000000,29000000,236000000,1174000000,11351000000,10041000000,-100000000,9941000000,189000000,9752000000,0.362339303,1990000000,19218000000,21208000000,4650000000,2605000000,366000000,28829000000,3607000000,4349000000,2339000000,6688000000,266000000,1222000000,3575000000,15358000000,0,44187000000,1783000000,144000000,132000000,300000000,1976000000,4335000000,11687000000,202000000,245000000,1106000000,13240000000,0,885000000,17575000000,0,3000000,16235000000,-11000000,10385000000,26612000000,26612000000,44187000000,0,44187000000,19484000000,11831000000,9841000000,9752000000,1174000000,-406000000,2004000000,-3363000000,-2215000000,-774000000,568000000,-942000000,-53000000,9108000000,-976000000,-263000000,-24811000000,16220000000,0,-9830000000,3977000000,0,0,-399000000,-1713000000,1865000000,0,1143000000,1990000000,847000000,9108000000,-976000000,8132000000
2021,NVDA,2021/01/31,FY,16675000000,6279000000,10396000000,3924000000,0,0,1940000000,0,5864000000,12143000000,57000000,184000000,1098000000,5691000000,4532000000,-123000000,4409000000,77000000,4332000000,0.259790105,847000000,10714000000,11561000000,2429000000,1826000000,239000000,16055000000,2856000000,4193000000,2737000000,6930000000,144000000,806000000,2000000000,12736000000,0,28791000000,1149000000,1120000000,61000000,288000000,1307000000,3925000000,6598000000,163000000,241000000,971000000,7973000000,0,755000000,11898000000,0,3000000,18908000000,19000000,-2037000000,16893000000,16893000000,28791000000,0,28791000000,10858000000,7718000000,6871000000,4332000000,1098000000,-282000000,1397000000,-703000000,-550000000,-524000000,312000000,59000000,-20000000,5822000000,-1128000000,-8524000000,-19342000000,9319000000,0,-19675000000,4968000000,0,0,-395000000,-769000000,3804000000,0,-10049000000,847000000,10896000000,5822000000,-1128000000,4694000000
2024,GOOGL,2024/12/31,FY,3.50018E+11,1.46306E+11,2.03712E+11,49326000000,14188000000,27808000000,41996000000,0,91322000000,2.37628E+11,4482000000,268000000,15311000000,1.35394E+11,1.1239E+11,7425000000,1.19815E+11,19697000000,1.00118E+11,0.286036718,23466000000,72191000000,95657000000,52340000000,0,15714000000,1.63711E+11,1.84624E+11,31885000000,0,31885000000,37982000000,17180000000,14874000000,2.86545E+11,0,4.50256E+11,7987000000,2887000000,8782000000,5036000000,64430000000,89122000000,22574000000,0,0,13476000000,36050000000,0,14578000000,1.25172E+11,0,84800000000,2.45084E+11,-4800000000,0,3.25084E+11,3.25084E+11,4.50256E+11,0,4.50256E+11,1.10173E+11,25461000000,1995000000,1.00118E+11,15311000000,-5257000000,22785000000,-8406000000,-5891000000,0,359000000,-2874000000,748000000,1.25299E+11,-52535000000,-2931000000,-91713000000,1.0431E+11,-2667000000,-45536000000,888000000,0,-62222000000,-7363000000,-11036000000,-79733000000,-612000000,-582000000,23466000000,24048000000,1.25299E+11,-52535000000,72764000000
