date,symbol,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2024-12-31,UNH,FY,25312000000,3801000000,29113000000,48454000000,0,8212000000,85779000000,10553000000,106734000000,23268000000,130002000000,52354000000,0,19590000000,212499000000,0,298278000000,68561000000,4545000000,0,3317000000,27346000000,103769000000,72359000000,0,3620000000,15939000000,91918000000,0,0,195687000000,0,9000000,96036000000,-3387000000,0,92658000000,102591000000,298278000000,9933000000,298278000000,56155000000,76904000000,51592000000
2023-12-31,UNH,FY,25427000000,4201000000,29628000000,38970000000,0,9839000000,78437000000,11450000000,103732000000,15194000000,118926000000,0,0,64907000000,195283000000,0,273720000000,31958000000,4274000000,0,3355000000,59467000000,99054000000,62123000000,3355000000,3021000000,11943000000,80442000000,-4695000000,3860000000,174801000000,0,9000000,95774000000,-7027000000,0,88756000000,98919000000,273720000000,10163000000,273720000000,4201000000,62537000000,37110000000
2022-12-31,UNH,FY,23365000000,4546000000,27911000000,30450000000,0,10708000000,69069000000,10128000000,93352000000,14401000000,107753000000,43728000000,2769000000,12258000000,176636000000,0,245705000000,56771000000,3110000000,0,3075000000,26281000000,89237000000,54513000000,2769000000,2769000000,15608000000,70121000000,0,0,159358000000,0,9000000,86156000000,-8393000000,0,77772000000,86347000000,245705000000,8575000000,245705000000,71639000000,57623000000,34258000000
2021-12-31,UNH,FY,21375000000,2532000000,23907000000,28082000000,0,9769000000,61758000000,8969000000,75795000000,10044000000,85839000000,43114000000,-94808000000,107334000000,150448000000,0,212206000000,49126000000,3620000000,0,2571000000,22975000000,78292000000,42383000000,-3265000000,3265000000,15052000000,57435000000,0,0,135727000000,0,10000000,77134000000,-5384000000,0,71760000000,76479000000,212206000000,4719000000,212206000000,45646000000,46003000000,24628000000
2020-12-31,UNH,FY,16921000000,2860000000,19781000000,25404000000,0,8533000000,53718000000,8626000000,71337000000,10856000000,82193000000,41242000000,-90819000000,102329000000,143571000000,0,197289000000,44367000000,4819000000,0,2842000000,20392000000,72420000000,38648000000,-3367000000,3367000000,15682000000,54330000000,0,0,126750000000,0,10000000,69295000000,-3814000000,0,65491000000,70539000000,197289000000,5048000000,197289000000,44102000000,43467000000,26546000000
