date,symbol,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2024-12-31,DAL,FY,3069000000,0,3069000000,3224000000,1428000000,2123000000,9844000000,44239000000,9753000000,5975000000,15728000000,2846000000,0,2715000000,65528000000,0,75372000000,4650000000,2938000000,0,4314000000,14768000000,26670000000,19833000000,0,2176000000,11400000000,33409000000,0,5851000000,60079000000,0,0,8783000000,-4979000000,11489000000,15293000000,15293000000,75372000000,0,75372000000,2846000000,22771000000,19702000000
2023-12-31,DAL,FY,2741000000,1127000000,3868000000,3130000000,1314000000,1957000000,10269000000,42490000000,9753000000,5983000000,15736000000,3457000000,908000000,784000000,63375000000,0,73644000000,4446000000,4501000000,0,3908000000,13563000000,26418000000,22453000000,4512000000,908000000,8248000000,36121000000,0,7227000000,62539000000,0,0,5650000000,-5845000000,11300000000,11105000000,11105000000,73644000000,0,73644000000,4584000000,27281000000,24540000000
2022-12-31,DAL,FY,3266000000,3268000000,6534000000,3176000000,1424000000,1877000000,13011000000,40145000000,9753000000,5992000000,15745000000,2128000000,339000000,907000000,59264000000,0,72275000000,5106000000,3787000000,0,3434000000,13613000000,25941000000,26192000000,4448000000,24000000,9126000000,39878000000,0,7580000000,65819000000,0,0,1170000000,-5801000000,11213000000,6456000000,6456000000,72275000000,0,72275000000,5396000000,30610000000,27344000000
2021-12-31,DAL,FY,7933000000,3386000000,11319000000,2404000000,1098000000,1119000000,15940000000,35922000000,9753000000,6001000000,15754000000,1712000000,1370000000,1773000000,56531000000,0,72471000000,4240000000,2485000000,0,2710000000,11531000000,20956000000,32194000000,4849000000,6364000000,10563000000,47881000000,0,7759000000,68837000000,0,0,-148000000,-7130000000,11165000000,3634000000,3634000000,72471000000,0,72471000000,5098000000,34615000000,26682000000
2020-12-31,DAL,FY,8307000000,5789000000,14096000000,1396000000,732000000,1180000000,17404000000,32262000000,9753000000,6011000000,15764000000,1665000000,2043000000,2913000000,54647000000,0,72051000000,2840000000,3088000000,0,1777000000,8222000000,15927000000,32244000000,5405000000,10865000000,16886000000,54771000000,0,6391000000,70698000000,0,0,-428000000,-9038000000,11000000000,1353000000,1353000000,72051000000,0,72051000000,7454000000,35548000000,27241000000
