date,symbol,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2024-12-31,ABBV,FY,5524000000,31000000,5555000000,10919000000,4181000000,4927000000,25582000000,5134000000,34956000000,60068000000,95024000000,279000000,0,9142000000,109579000000,0,135161000000,2945000000,6804000000,0,0,28050000000,38749000000,60340000000,0,2579000000,30129000000,93048000000,0,0,131797000000,0,18000000,-7900000000,-1925000000,13132000000,3325000000,3364000000,135161000000,39000000,135161000000,310000000,67144000000,61620000000
2023-12-31,ABBV,FY,12814000000,2000000,12816000000,11155000000,4099000000,4932000000,33002000000,4989000000,32293000000,55610000000,87903000000,304000000,0,8513000000,101709000000,0,134711000000,3688000000,7191000000,0,0,26962000000,37841000000,52956000000,0,0,33517000000,86473000000,0,762000000,124314000000,0,18000000,-1000000000,-2305000000,13647000000,10360000000,10397000000,134711000000,37000000,134711000000,306000000,59385000000,46571000000
2022-12-31,ABBV,FY,9201000000,28000000,9229000000,11254000000,3579000000,4401000000,28463000000,4935000000,32156000000,67439000000,99595000000,241000000,0,5571000000,110342000000,0,138805000000,2934000000,4136000000,0,0,22468000000,29538000000,59906000000,0,2190000000,32074000000,91980000000,0,771000000,121518000000,0,18000000,4784000000,-2199000000,14651000000,17254000000,17287000000,138805000000,33000000,138805000000,269000000,63271000000,54070000000
2021-12-31,ABBV,FY,9746000000,84000000,9830000000,9977000000,3128000000,4993000000,27928000000,5110000000,32379000000,75951000000,108330000000,277000000,0,4884000000,118601000000,0,146529000000,2882000000,12495000000,0,0,19817000000,35194000000,64927000000,0,3009000000,30972000000,95899000000,0,738000000,131093000000,0,18000000,3127000000,-2899000000,15162000000,15408000000,15436000000,146529000000,28000000,146529000000,361000000,76684000000,66938000000
2020-12-31,ABBV,FY,8449000000,30000000,8479000000,8822000000,3310000000,3562000000,24173000000,5248000000,33124000000,82876000000,116000000000,293000000,0,4851000000,126392000000,0,150565000000,2276000000,8502000000,0,0,17883000000,28661000000,78407000000,0,3646000000,30400000000,108807000000,0,853000000,137468000000,0,18000000,1055000000,-3117000000,15120000000,13076000000,13097000000,150565000000,21000000,150565000000,323000000,86056000000,77607000000
