date,symbol,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,HCA,FY,5760000000,3312000000,0,360000000,-465000000,-799000000,0,359000000,-25000000,1547000000,10514000000,-4875000000,0,0,0,-58000000,-4933000000,3205000000,0,-6042000000,-690000000,-1055000000,-4582000000,-1000000,998000000,1933000000,935000000,10514000000,-4875000000,5639000000
2023-12-31,HCA,FY,5242000000,3077000000,229000000,262000000,-457000000,0,0,0,-457000000,1078000000,9431000000,-4744000000,-442000000,0,0,-131000000,-5317000000,1295000000,0,-3811000000,-661000000,-917000000,-4094000000,7000000,27000000,935000000,908000000,9431000000,-4744000000,4687000000
2022-12-31,HCA,FY,6834000000,2969000000,571000000,341000000,-1152000000,-797000000,-59000000,-296000000,0,-1041000000,8522000000,-4395000000,1013000000,-14000000,14000000,-7000000,-3389000000,3287000000,0,-7000000000,-653000000,-1290000000,-5656000000,-20000000,-543000000,908000000,1451000000,8522000000,-4395000000,4127000000
2021-12-31,HCA,FY,7721000000,2853000000,-70000000,440000000,-503000000,-962000000,-540000000,999000000,0,-1482000000,8959000000,-3577000000,1055000000,-117000000,117000000,-121000000,-2643000000,3255000000,0,-8215000000,-624000000,-1071000000,-6655000000,-3000000,-342000000,1451000000,1793000000,8959000000,-3577000000,5382000000
2020-12-31,HCA,FY,4387000000,2721000000,41000000,362000000,1278000000,327000000,-304000000,1255000000,0,443000000,9232000000,-2835000000,-500000000,-20000000,20000000,-58000000,-3393000000,-3217000000,0,-441000000,-153000000,-866000000,-4677000000,10000000,1172000000,1793000000,621000000,9232000000,-2835000000,6397000000
