date,symbol,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,BIDU,FY,23760000000,0,0,4784000000,0,0,0,2298000000,-29917000000,-7310000000,21234000000,-8134000000,0,0,0,-421000000,-8555000000,-7537000000,0,-6324000000,0,102000000,-13759000000,95000000,-985000000,36589000000,37574000000,21234000000,-8134000000,13100000000
2023-12-31,BIDU,FY,21549000000,21457000000,-163000000,6345000000,-13067000000,216000000,0,-858000000,-12425000000,494000000,36615000000,-11190000000,-115000000,-203480000000,161916000000,2472000000,-50397000000,-17995000000,3461000000,-4764000000,0,5136000000,-14162000000,282000000,-27662000000,37574000000,65236000000,36615000000,-11295000000,25320000000
2022-12-31,BIDU,FY,7534000000,20084000000,-99000000,6788000000,-16758000000,-2369000000,0,-1450000000,-12939000000,8621000000,26170000000,-8393000000,256000000,-185149000000,190103000000,-761000000,-3944000000,-8002000000,1227000000,-1925000000,0,2310000000,-6390000000,1729000000,17565000000,65236000000,47671000000,26170000000,-8393000000,17777000000
2021-12-31,BIDU,FY,7591000000,22559000000,-449000000,7056000000,-18691000000,-2144000000,-24281000000,7141000000,593000000,2056000000,20122000000,-11240000000,-12282000000,-200496000000,192503000000,71000000,-31444000000,8840000000,20557000000,-7581000000,0,1580000000,23396000000,-943000000,11131000000,47671000000,36540000000,20122000000,-11240000000,8882000000
2020-12-31,BIDU,FY,19026000000,22714000000,115000000,6728000000,-18207000000,-1660000000,-17639000000,208000000,884000000,-6176000000,24200000000,-5331000000,-2882000000,-296672000000,276428000000,905000000,-27552000000,12390000000,4662000000,-13054000000,0,1667000000,5665000000,-212000000,2101000000,36540000000,34439000000,24200000000,-5331000000,18869000000
