date,symbol,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,LCID,FY,-2713942000,295337000,0,285872000,-324035000,-61279000,-334242000,34756000,0,437094000,-2019674000,-883841000,0,-4622890000,4212277000,0,-1294454000,50822000,1744017000,0,0,1754834000,3555917000,0,235545000,1607052000,1371507000,-2019674000,-883841000,-2903515000
2023-12-31,LCID,FY,-2828420000,233531000,0,257283000,-959772000,-32509000,-658010000,-139519000,-129734000,807625000,-2489753000,-910644000,0,-3998282000,3869278000,92673000,-946975000,1870127000,1184224000,-17615000,0,16564000,3070915000,0,-365813000,1371507000,1737320000,-2489753000,-910644000,-3400397000
2022-12-31,LCID,FY,-1304460000,186583000,0,423500000,-892131000,-16498000,-1256349000,180469000,200247000,-639750000,-2226258000,-1074852000,0,-3854129000,1149714000,97590000,-3681677000,20988000,1551667000,-218789000,0,-183070000,1347235000,0,-4560700000,1737320000,6298020000,-2226258000,-1074852000,-3301110000
2021-12-31,LCID,FY,-2579761000,62907000,1093218000,516757000,-182528000,-2888000,-175091000,4354000,-8903000,31274000,-1058133000,-421220000,22000,-22000,505000,22000,-420693000,2013397000,3000000,-45779000,0,5143747000,7136428000,0,5657602000,6298020000,640418000,-1058133000,-421220000,-1479353000
2020-12-31,LCID,FY,-719380000,10217000,119587000,4614000,14627000,148000,-359000,-69861000,84699000,139000,-570196000,-459582000,0,0,0,0,-459582000,-364000,1303010000,-12101000,0,1290909000,1290545000,0,260767000,640418000,379651000,-570196000,-459582000,-1029778000
