date,symbol,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,SOFI,FY,498665000,203498000,-286917000,246152000,-1612860000,0,0,106343000,-1719203000,-168345000,-1119807000,-154265000,0,-2190545000,993341000,-3469521000,-4820990000,-1490191000,21407000,0,-16503000,6519864000,5034577000,2000,-906218000,2709360000,3615578000,-1119807000,-154265000,-1274072000
2023-12-31,SOFI,FY,-300742000,201416000,-15828000,271216000,-7633174000,0,0,93301000,-7726475000,249973000,-7227139000,-111409000,-72301000,-800507000,419462000,-1325109000,-1889864000,-279310000,1145000,-15300000,-40425000,11219492000,10885602000,677000,1769276000,3615578000,1846302000,-7227139000,-111409000,-7338548000
2022-12-31,SOFI,FY,-320407000,151360000,-6651000,305994000,-7501930000,0,0,6365000,-7508295000,115776000,-7255858000,-93201000,58540000,-44974000,157562000,-184260000,-106333000,1341595000,0,-8983000,-40425000,7147298000,8439485000,571000,1077865000,1846302000,768437000,-7255858000,-103733000,-7359591000
2021-12-31,SOFI,FY,-483937000,101568000,1204000,239011000,-1345314000,1399000,0,-9022000,-1337691000,137251000,-1350217000,-52261000,0,-268372000,414133000,16693000,110193000,-908378000,0,-283385000,-40426000,1917176000,684987000,46000,-554991000,768437000,1323428000,-1350217000,-52261000,-1402478000
2020-12-31,SOFI,FY,-224053000,69832000,-104504000,99870000,-397331000,1121000,0,95161000,-493613000,76850000,-479336000,-24549000,-32392000,-145000,323678000,-7643000,258949000,524898000,369840000,-40000,-40536000,-408000,853754000,-145000,633222000,1323428000,690206000,-479336000,-24549000,-503885000
