date,symbol,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,VIAC,FY,-6149000000,392000000,-630000000,245000000,0,0,-15812000000,324000000,0,21457000000,752000000,-263000000,0,0,0,275000000,12000000,-126000000,0,0,-168000000,-213000000,-507000000,-56000000,201000000,2661000000,2460000000,752000000,-263000000,489000000
2023-12-31,VIAC,FY,-1252000000,418000000,-650000000,177000000,-15642000000,523000000,-15518000000,-659000000,12000000,17424000000,475000000,-328000000,71000000,0,0,1199000000,942000000,-1232000000,0,-29000000,-447000000,-133000000,-1841000000,-1000000,-425000000,2460000000,2885000000,475000000,-328000000,147000000
2022-12-31,VIAC,FY,835000000,405000000,-106000000,172000000,-16679000000,-180000000,-17164000000,596000000,69000000,15592000000,219000000,-358000000,95000000,-254000000,254000000,-263000000,-526000000,-2002000000,0,-31000000,-689000000,-290000000,-2981000000,-94000000,-3382000000,2885000000,6267000000,219000000,-358000000,-139000000
2021-12-31,VIAC,FY,4631000000,390000000,90000000,192000000,-15492000000,16584000000,-16584000000,760000000,-16252000000,11142000000,953000000,-354000000,-54000000,-193000000,193000000,2803000000,2395000000,-2172000000,1672000000,0,-647000000,995000000,-152000000,-48000000,3148000000,6267000000,3119000000,953000000,-354000000,599000000
2020-12-31,VIAC,FY,2584000000,430000000,122000000,274000000,-11980000000,12170000000,-12170000000,188000000,-12168000000,10864000000,2294000000,-324000000,-147000000,-59000000,59000000,527000000,56000000,768000000,0,-58000000,-600000000,-200000000,-90000000,25000000,2285000000,3119000000,834000000,2294000000,-324000000,1970000000
