date,symbol,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2024-12-31,ET,FY,312000000,0,312000000,10334000000,3070000000,486000000,14202000000,96021000000,3903000000,5971000000,9874000000,3266000000,0,2017000000,111178000000,0,125380000000,8306000000,75000000,737000000,682000000,2856000000,12656000000,60482000000,0,4190000000,1618000000,66290000000,0,797000000,78946000000,0,0,0,73000000,-73000000,0,0,78946000000,11316000000,78946000000,3266000000,60557000000,60245000000
2023-12-31,ET,FY,161000000,0,161000000,9148000000,2478000000,646000000,12433000000,86177000000,4019000000,6239000000,10258000000,3097000000,0,1733000000,101265000000,0,113698000000,6684000000,1064000000,646000000,0,2883000000,11277000000,52158000000,0,0,5546000000,57704000000,0,861000000,68981000000,6459000000,30197000000,0,28000000,0,36684000000,44717000000,113698000000,8033000000,113698000000,3097000000,53222000000,53061000000
2022-12-31,ET,FY,257000000,0,257000000,8559000000,2461000000,804000000,12081000000,81130000000,2566000000,5415000000,7981000000,2893000000,0,1558000000,93562000000,0,105643000000,6969000000,48000000,519000000,0,2832000000,10368000000,49059000000,0,0,5064000000,54123000000,0,856000000,64491000000,6051000000,26960000000,0,16000000,0,33027000000,41152000000,105643000000,8125000000,105643000000,2893000000,49107000000,48850000000
2021-12-31,ET,FY,336000000,0,336000000,7708000000,2014000000,479000000,10537000000,82445000000,2533000000,5856000000,8389000000,2947000000,0,1645000000,95426000000,0,105963000000,6834000000,729000000,384000000,0,2888000000,10835000000,49837000000,0,0,5163000000,55000000000,0,876000000,65835000000,6051000000,25230000000,0,23000000,0,31304000000,40128000000,105963000000,8824000000,105963000000,2947000000,50566000000,50230000000
2020-12-31,ET,FY,367000000,0,367000000,3954000000,1739000000,257000000,6317000000,75973000000,2391000000,5746000000,8137000000,3060000000,0,1657000000,88827000000,0,95144000000,2836000000,76000000,446000000,0,2565000000,5923000000,52255000000,0,0,4816000000,57071000000,0,900000000,62994000000,0,18531000000,0,6000000,0,18537000000,32150000000,95144000000,13613000000,95144000000,3060000000,52331000000,51964000000
