date,symbol,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2024-12-31,PINS,FY,1136460000,1376409000,2512869000,893403000,0,78435000,3484707000,131491000,100227000,9876000,110103000,0,1602539000,13820000,1857953000,0,5342660000,84026000,34425000,0,0,314107000,398133000,302728000,0,0,42009000,193373000,0,185789000,591506000,0,7000,-288162000,-130000,5039439000,4751154000,4751154000,5342660000,0,5342660000,1376409000,185789000,-950671000
2023-12-31,PINS,FY,1361936000,1149148000,2511084000,763159000,0,64316000,3338559000,124344000,100227000,17235000,117462000,0,0,14040000,255846000,0,3594405000,79058000,35666000,0,0,202366000,317090000,160616000,0,0,26019000,186635000,0,196282000,503725000,0,7000,-2150268000,-1013000,5241954000,3090680000,3090680000,3594405000,0,3594405000,1149148000,196282000,-1165654000
2022-12-31,PINS,FY,1611063000,1087164000,2698227000,681532000,0,74918000,3454677000,265828000,100227000,24595000,124822000,5530000,-5530000,17403000,408053000,0,3862730000,87920000,50274000,0,0,242337000,380531000,357388000,0,0,-156843000,200545000,0,228968000,581076000,0,7000,-2114658000,-11419000,5407724000,3281654000,3281654000,3862730000,0,3862730000,1087164000,228968000,-1382095000
2021-12-31,PINS,FY,1419630000,1060488000,2480118000,653355000,0,48090000,3181563000,281313000,40208000,20907000,61115000,6297000,-6297000,13247000,355675000,0,3537238000,17675000,41693000,0,0,200438000,259806000,418362000,0,0,-179673000,238689000,0,250874000,498495000,0,7000,-2018611000,-2181000,5059528000,3038743000,3038743000,3537238000,0,3537238000,1060488000,209181000,-1210449000
2020-12-31,PINS,FY,669230000,1091076000,1760306000,563733000,0,67004000,2357541000,225291000,6905000,6657000,13562000,9110000,-9110000,13065000,251918000,0,2609459000,49491000,43633000,0,0,111707000,204831000,278642000,0,0,-116385000,162257000,0,182954000,367088000,0,6000,-2335049000,2480000,4574934000,2242371000,2242371000,2609459000,0,2609459000,1091076000,139321000,-529909000
