date,symbol,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2024-03-31,BABA,FY,248125000000,322904000000,571029000000,38943000000,25460000000,117432000000,752864000000,262088000000,259679000000,26950000000,286629000000,424073000000,0,39175000000,1011965000000,0,1764829000000,0,34872000000,9068000000,0,377567000000,421507000000,170742000000,0,0,59981000000,230723000000,0,34838000000,652230000000,0,1000000,597897000000,18331000000,370315000000,986544000000,1112599000000,1764829000000,126055000000,1764829000000,746977000000,205614000000,-42511000000
2023-03-31,BABA,FY,193086000000,331384000000,524470000000,41176000000,28547000000,103773000000,697966000000,176031000000,268091000000,46913000000,315004000000,453117000000,15494000000,95432000000,1055078000000,0,1753044000000,103369000000,17933000000,12543000000,84592000000,251506000000,385351000000,177636000000,3560000000,61745000000,67136000000,244772000000,0,34215000000,630123000000,0,1000000,599028000000,2560000000,388068000000,989657000000,1122921000000,1753044000000,133264000000,1753044000000,784501000000,161354000000,-31732000000
2022-03-31,BABA,FY,189898000000,265187000000,455085000000,45001000000,30087000000,108362000000,638535000000,171806000000,269581000000,59231000000,328812000000,443253000000,14475000000,98672000000,1057018000000,0,1695553000000,107205000000,13835000000,21753000000,81730000000,240991000000,383784000000,162762000000,3490000000,61706000000,1618000000,229576000000,0,35253000000,613360000000,0,1000000,563557000000,-23318000000,408239000000,948479000000,1082193000000,1695553000000,133714000000,1695553000000,708440000000,141344000000,-48554000000
2021-03-31,BABA,FY,321262000000,162183000000,483445000000,37450000000,27858000000,94607000000,643360000000,147412000000,292771000000,70833000000,363604000000,437410000000,11041000000,87391000000,1046858000000,0,1690218000000,94368000000,17506000000,25275000000,77506000000,240209000000,377358000000,163933000000,3158000000,59598000000,2537000000,229226000000,0,32286000000,606584000000,0,1000000,554924000000,-11716000000,394261000000,937470000000,1083634000000,1690218000000,146164000000,1690218000000,599593000000,149153000000,-172109000000
2020-03-31,BABA,FY,330503000000,32712000000,363215000000,30815000000,14859000000,111489000000,462923000000,103387000000,276782000000,60947000000,337729000000,350961000000,7590000000,50395000000,850062000000,0,1312985000000,67173000000,7920000000,20190000000,51978000000,94611000000,241872000000,120276000000,2025000000,43898000000,71186000000,191462000000,0,2766000000,433334000000,0,1000000,406287000000,5457000000,467957000000,755401000000,879651000000,1312985000000,124250000000,1312985000000,383673000000,125430000000,-205073000000
