date,symbol,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2024-12-31,RBLX,FY,711683000,1697862000,2409545000,634528000,0,636038000,3728030000,1325474000,141688000,34153000,175841000,1610215000,628232000,963675000,4075205000,-628232000,7175003000,42885000,0,54609000,3004969000,560745000,3663208000,1676422000,1567007000,0,59712000,3303141000,0,670051000,6966349000,0,62000,-3995637000,-3895000,4220916000.0,221446000,208654000,7175003000,-12792000,7175003000,3308077000,1805279000,1093596000
2023-12-31,RBLX,FY,678466000,1514808000,2193274000,505769000,0,576370000,3275413000,1360467000,142129000,53060000,195189000,1043399000,0,293610000,2892665000,0,6168078000,60087000,111293000,59632000,2406292000,415062000,3052366000,1651506000,1373250000,0,22330000,3047086000,0,757799000,6099452000,0,61000,-3060253000,1536000,3134946000.0,76290000,68626000,6168078000,-7664000,6168078000,2558207000,1762799000,1084333000
2022-12-31,RBLX,FY,2977474000,0,2977474000,379353000,465309000,481777000,3838604000,1118376000,134335000,54717000,189052000,0,0,229455000,1536883000,0,5375487000,71182000,73235000,49361000,1941943000,345114000,2480835000,1483574000,1095291000,0,10752000,2589617000,0,567825000,5070452000,0,59000,-1908307000,671000,2213603000.0,306026000,305035000,5375487000,-991000,5375487000,0,1556809000,-1420665000
2021-12-31,RBLX,FY,3004300000,0,3004300000,307349000,406025000,438116000,3749765000,492637000,118071000,59666000,177737000,0,0,140457000,810831000,0,4560596000,64395000,51303000,43286000,1758022000,250086000,2167092000,1182339000,616834000,0,1408000,1800581000,0,245919000,3967673000,4560596000,58000,-983941000,62000,-2991958000.0,584817000,592923000,4560596000,8106000,4560596000,0,1182339000,-1821961000
2020-12-31,RBLX,FY,893943000,0,893943000,246986000,274534000,283202000,1424131000,206415000,59568000,42326000,101894000,0,0,115360000,423669000,0,1847800000,12012000,0,19119000,1070230000,127185000,1228546000,0,484699000,-344827000,366936000,851635000,0,0,2080181000,344827000,20000,-492290000,90000,239792000.00000003,-252388000,-232381000,1847800000,20007000,1847800000,0,344827000,-549116000
