date,symbol,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2024-09-28,DIS,FY,6002000000,0,6002000000,12729000000,2022000000,4488000000,25241000000,37041000000,73326000000,10739000000,84065000000,4459000000,0,45413000000,170978000000,0,196219000000,14796000000,6845000000,2473000000,0,10485000000,34599000000,41898000000,0,6277000000,7923000000,56098000000,0,2928000000,90697000000,0,58592000000,49722000000,-3699000000,-3919000000,100696000000,105522000000,196219000000,4826000000,196219000000,4459000000,48743000000,42741000000
2023-09-30,DIS,FY,14182000000,0,14182000000,12330000000,1963000000,4288000000,32763000000,39443000000,77067000000,13061000000,90128000000,3080000000,0,40165000000,172816000000,0,205579000000,15125000000,4330000000,2276000000,6138000000,3270000000,31139000000,45565000000,0,7258000000,8605000000,61428000000,0,3464000000,92567000000,0,57383000000,46093000000,-3292000000,-907000000,99277000000,113012000000,205579000000,13735000000,205579000000,3080000000,49895000000,35713000000
2022-10-01,DIS,FY,11615000000,0,11615000000,12652000000,1742000000,3089000000,29098000000,33596000000,77897000000,14837000000,92734000000,3218000000,8363000000,36622000000,174533000000,0,203631000000,16205000000,3070000000,378000000,5790000000,3630000000,29073000000,48538000000,0,8363000000,9279000000,66180000000,0,3239000000,95253000000,0,56398000000,43636000000,-4119000000,-907000000,95008000000,108378000000,203631000000,13370000000,203631000000,3218000000,48369000000,36754000000
2021-10-02,DIS,FY,15959000000,0,15959000000,13367000000,1331000000,3000000000,33657000000,32624000000,78071000000,17115000000,95186000000,3935000000,29549000000,8658000000,169952000000,0,203609000000,16357000000,5866000000,0,4317000000,4537000000,31077000000,51769000000,0,7246000000,11293000000,70308000000,0,3229000000,101385000000,0,55471000000,40429000000,-6440000000,-907000000,88553000000,102224000000,203609000000,13671000000,203609000000,3935000000,54406000000,38447000000
2020-10-03,DIS,FY,17914000000,0,17914000000,12708000000,1583000000,3046000000,35251000000,32078000000,77689000000,19173000000,96862000000,3903000000,25022000000,8433000000,166298000000,0,201549000000,13183000000,5711000000,0,4116000000,3618000000,26628000000,55828000000,0,7288000000,14293000000,77409000000,0,2911000000,104037000000,0,54497000000,38315000000,-8322000000,-907000000,83583000000,97512000000,201549000000,13929000000,201549000000,3903000000,58628000000,40714000000
