date,symbol,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2024-11-29,ADBE,FY,7613000000,273000000,7886000000,2072000000,0,1274000000,11232000000,2217000000,12788000000,782000000,13570000000,0,1657000000,1554000000,18998000000,0,30230000000,361000000,1574000000,240000000,6131000000,2215000000,10521000000,4482000000,128000000,0,994000000,5604000000,0,428000000,16125000000,0,0,38470000000,-201000000,-24164000000,14105000000,14105000000,30230000000,0,30230000000,273000000,6056000000,-1557000000
2023-12-01,ADBE,FY,7141000000,701000000,7842000000,2224000000,0,1018000000,11084000000,2388000000,12805000000,1088000000,13893000000,0,1191000000,1223000000,18695000000,0,29779000000,314000000,73000000,85000000,5837000000,1942000000,8251000000,4007000000,113000000,0,890000000,5010000000,0,446000000,13261000000,0,0,33346000000,-285000000,-16543000000,16518000000,16518000000,29779000000,0,29779000000,701000000,4080000000,-3061000000
2022-12-02,ADBE,FY,4236000000,1860000000,6096000000,2065000000,0,835000000,8996000000,2315000000,12787000000,1449000000,14236000000,0,777000000,841000000,18169000000,0,27165000000,379000000,587000000,75000000,5297000000,1790000000,8128000000,4046000000,117000000,0,823000000,4986000000,0,504000000,13114000000,0,0,28319000000,-293000000,-13975000000,14051000000,14051000000,27165000000,0,27165000000,1860000000,4633000000,397000000
2021-12-03,ADBE,FY,3844000000,1954000000,5798000000,1878000000,0,993000000,8669000000,2116000000,12668000000,1820000000,14488000000,0,1085000000,883000000,18572000000,0,27241000000,312000000,97000000,54000000,4733000000,1736000000,6932000000,4576000000,145000000,5000000,786000000,5512000000,0,550000000,12444000000,0,0,23905000000,-137000000,-8971000000,14797000000,14797000000,27241000000,0,27241000000,1954000000,4673000000,829000000
2020-11-27,ADBE,FY,4478000000,1514000000,5992000000,1398000000,0,756000000,8146000000,2004000000,10742000000,1359000000,12101000000,0,1370000000,663000000,16138000000,0,24284000000,306000000,92000000,63000000,3629000000,1422000000,5512000000,4616000000,130000000,10000000,752000000,5508000000,0,591000000,11020000000,0,0,19611000000,-158000000,-6189000000,13264000000,13264000000,24284000000,0,24284000000,1514000000,4708000000,230000000
