date,symbol,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,PINS,FY,1862106000,21266000,-1600434000,765795000,-57442000,-128946000,0,3828000,67676000,-26697000,964594000,-24606000,0,-1510013000,1313602000,0,-221017000,0,0,-990452000,0,22133000,-968319000,-2569000,-227311000,1141221000,1368532000,964594000,-24606000,939988000
2023-12-31,PINS,FY,-35610000,21509000,0,647860000,-126668000,-80782000,0,-9261000,-36625000,105870000,612961000,-8063000,0,-1308020000,1279090000,0,-36993000,0,0,-835019000,0,8256000,-826763000,1667000,-249128000,1368532000,1617660000,612961000,-8063000,604898000
2022-12-31,PINS,FY,-96047000,46489000,0,497123000,35526000,-28856000,0,70777000,-6395000,-13889000,469202000,-28984000,-86059000,-1028480000,1015278000,-13202000,-128245000,0,0,-161809000,0,12882000,-148927000,-1434000,190596000,1617660000,1427064000,469202000,-28984000,440218000
2021-12-31,PINS,FY,316438000,27500000,0,415382000,-61320000,-88862000,0,-33451000,60993000,54907000,752907000,-9031000,-36914000,-1104087000,1124174000,20087000,-25858000,0,23912000,0,0,22162000,22162000,-1058000,748153000,1427064000,678911000,752907000,-9031000,743876000
2020-12-31,PINS,FY,-128323000,36988000,0,321020000,-211939000,-253173000,-16385000,15721000,41898000,11080000,28826000,-17401000,0,-1216260000,1185722000,316000,-47623000,0,0,-56894000,0,76532000,19638000,327000,1168000,678911000,677743000,28826000,-17401000,11425000
