date,symbol,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-01-31,ZM,FY,1010238000,122632000,-90551000,931309000,-126946000,26640000,0,-3133000,-150453000,98626000,1945308000,-136560000,0,-4640604000,3671140000,0,-1106024000,0,58627000,-1093878000,0,65801000,-1028077000,-15170000,-203963000,1361417000,1565380000,1945308000,-136560000,1808748000
2024-01-31,ZM,FY,637462000,104451000,-116679000,1057161000,-254619000,53270000,0,-4416000,-303473000,171060000,1598836000,-126953000,-204918000,-4154495000,3302677000,0,-1183689000,0,64292000,-4106000,0,60186000,60186000,-10196000,465137000,1565380000,1100243000,1598836000,-126953000,1471883000
2023-01-31,ZM,FY,103711000,82321000,-160961000,1285752000,-412837000,-231845000,0,11611000,-192603000,392276000,1290262000,-103826000,-120553000,-2918171000,2835496000,-11268000,-318322000,0,0,-1000003000,0,63061000,-936942000,-8108000,26890000,1100243000,1073353000,1290262000,-115094000,1175168000
2022-01-31,ZM,FY,1375639000,48188000,-327957000,477287000,-186454000,-159183000,0,-2218000,-25053000,218563000,1605266000,-132590000,-3501000,-4739898000,2029910000,-13018000,-2859097000,0,73735000,-40004000,0,34068000,34068000,0,-1219763000,1073353000,2293116000,1605266000,-145608000,1459658000
2021-01-31,ZM,FY,672316000,28857000,32007000,275818000,319852000,-219039000,176754000,3481000,358656000,142327000,1471177000,-79972000,-26486000,-2069470000,617692000,-4184000,-1562420000,0,1979206000,0,0,71071000,2050277000,0,1959034000,2293116000,334082000,1471177000,-85815000,1385362000
