date,symbol,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncome,netIncomeRatio
2025-01-31,WMT,FY,680985000000,511753000000,169232000000,0,0,0,139884000000,0,139884000000,651637000000,483000000,2728000000,311000000,29348000000,29348000000,-3039000000,26309000000,6152000000,19436000000,0.0285410104
2024-01-31,WMT,FY,648125000000,490142000000,157983000000,0,126571000000,4400000000,130971000000,0,130971000000,621113000000,546000000,2683000000,11853000000,38865000000,27012000000,-5164000000,21848000000,5578000000,15511000000,0.0239321119
2023-01-31,WMT,FY,611289000000,463721000000,147568000000,0,123040000000,4100000000,127140000000,-1538000000,127140000000,590861000000,254000000,2128000000,10945000000,30089000000,20428000000,-3412000000,17016000000,5724000000,11680000000,0.0191071654
2022-01-31,WMT,FY,572754000000,429000000000,143754000000,0,113912000000,3900000000,117812000000,-3000000000,117812000000,546812000000,158000000,1994000000,10658000000,36600000000,25942000000,-7246000000,18696000000,4756000000,13673000000,0.023872378
2021-01-31,WMT,FY,559151000000,420315000000,138836000000,0,113088000000,3200000000,116288000000,210000000,116288000000,536603000000,121000000,2315000000,11152000000,34031000000,22548000000,-1984000000,20564000000,6858000000,13510000000,0.0241616308
