date,symbol,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2024-12-31,RKT,FY,1272853000,2785146000,4057999000,633018000,0,151944000,4842961000,495618000,1227517000,7633371000,8860888000,9515152000,521824000,273620000,19667102000,0,24510063000,181713000,8893344000,0,0,0,9075057000,5082439000,0,0,1309187000,6391626000,0,319296000,15466683000,0,20000,312834000,-48000,389695000,702501000,9043380000,24510063000,8340879000,24510063000,12300298000,13975783000,12702930000
2023-12-31,RKT,FY,1136832000,0,1136832000,579216000,0,158260000,2168444000,598552000,1236765000,6439787000,7676552000,39518000,0,550149000,8864771000,8198525000,19231740000,171350000,1664107000,0,0,63444000,1898901000,7888701000,0,0,-1988558000,5900143000,3130986000,393882000,10930030000,0,20000,284296000,52000,340532000,624900000,8301710000,19231740000,7676810000,19231740000,39518000,9562314000,8425482000
2022-12-31,RKT,FY,722293000,90635000,722293000,439571000,1241976000,192883000,722293000,640381000,1258928000,6946940000,8205868000,40341000,537963000,-6987281000,2437272000,16922647000,20082212000,116331000,0,0,-1405520000,456232000,572563000,5273184000,0,0,6130687000,11034100000,0,422769000,11606663000,0,20000,300394000,69000,276221000,576704000,8475549000,20082212000,7898845000,20082212000,40341000,8705783000,7983490000
2021-12-31,RKT,FY,2131174000,538861000,2131174000,517823000,492000,169005000,2140927000,682271000,1296926000,5385613000,5385613000,5495835000,572049000,-6067884000,6067884000,24566084000,32774895000,271544000,75000000,0,0,-346544000,346544000,9699975000,0,0,-9699975000,19186701000,3482118000,482184000,23015363000,0,20000,378005000,81000,287558000,665664000,9759532000,32774895000,9093868000,32774895000,5495835000,19261701000,17130527000
2020-12-31,RKT,FY,1971085000,1897194000,1971085000,406049000,1131000,179406000,1993257000,449707000,47230000,2862685000,2862685000,205033000,519933000,-519933000,3517425000,32023920000,37534602000,251960000,375000000,0,0,-626960000,626960000,7320881000,0,0,-7320881000,21579849000,7445637000,272274000,29652446000,0,20000,207422000,317000,282743000,490502000,7882156000,37534602000,7391654000,37534602000,205033000,21954849000,19983764000
