date,symbol,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncome,netIncomeRatio
2024-12-31,WFC,FY,77962000000,0,77962000000,0,36362000000,869000000,49473000000,0,49473000000,49473000000,0,0,-4492000000,23997000000,28489000000,-5125000000,23364000000,3399000000,19722000000,0.2529693953
2023-12-31,WFC,FY,77198000000,-5399000000,82597000000,0,36526000000,812000000,48530000000,0,48530000000,48530000000,85118000000,32743000000,6271000000,27907000000,28668000000,-7032000000,21636000000,2607000000,19142000000,0.2479597917
2022-12-31,WFC,FY,73785000000,-583000000,74368000000,0,35090000000,505000000,46289000000,10989000000,46289000000,57278000000,54024000000,9074000000,7309000000,22278000000,14970000000,659000000,15629000000,2087000000,13677000000,0.1853628786
2021-12-31,WFC,FY,78492000000,-674000000,79166000000,0,35541000000,600000000,48059000000,5731000000,48059000000,48059000000,39694000000,3915000000,8494000000,37310000000,35262000000,-5699000000,29563000000,5578000000,22109000000,0.2816720175
2020-12-31,WFC,FY,72340000000,12168000000,60172000000,0,34811000000,600000000,35411000000,9188000000,57667000000,57667000000,47798000000,7963000000,8219000000,0,11693000000,-9188000000,2505000000,-1157000000,3377000000,0.0466823334
