date,symbol,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2023-12-31,MRO,FY,155000000,0,155000000,1152000000,186000000,76000000,1569000000,17213000000,0,0,0,433000000,0,360000000,18006000000,0,19575000000,1364000000,2050000000,126000000,0,382000000,3922000000,3510000000,0,419000000,519000000,4448000000,0,132000000,8370000000,0,937000000,11966000000,82000000,-1780000000,11205000000,11205000000,19575000000,0,19575000000,433000000,5428000000,5273000000
2022-12-31,MRO,FY,334000000,9000000,334000000,1146000000,125000000,66000000,1671000000,17377000000,0,0,-40000000,577000000,40000000,315000000,18269000000,0,19940000000,1279000000,502000000,171000000,0,354000000,2306000000,5571000000,0,167000000,499000000,6237000000,0,150000000,8543000000,0,937000000,10663000000,106000000,-309000000,11397000000,11397000000,19940000000,0,19940000000,577000000,5923000000,5589000000
2021-12-31,MRO,FY,580000000,0,580000000,1142000000,77000000,22000000,1821000000,14499000000,0,0,0,450000000,0,224000000,15173000000,0,16994000000,1110000000,82000000,157000000,231000000,288000000,1637000000,4025000000,0,136000000,510000000,4671000000,0,93000000,6308000000,0,937000000,7271000000,82000000,2396000000,10686000000,10686000000,16994000000,0,16994000000,450000000,4014000000,3434000000
2020-12-31,MRO,FY,742000000,0,742000000,747000000,76000000,47000000,1612000000,15638000000,0,0,0,447000000,0,259000000,16344000000,0,17956000000,837000000,70000000,72000000,-70000000,234000000,1213000000,5471000000,0,163000000,548000000,6182000000,0,137000000,7395000000,0,937000000,6466000000,73000000,3085000000,10561000000,10561000000,17956000000,0,17956000000,447000000,5404000000,4662000000
2019-12-31,MRO,FY,858000000,0,858000000,1122000000,72000000,83000000,2135000000,17000000000,95000000,95000000,95000000,663000000,0,352000000,18110000000,0,20245000000,1307000000,101000000,118000000,-101000000,219000000,1745000000,5608000000,0,186000000,553000000,6347000000,0,208000000,8092000000,0,937000000,7993000000,105000000,3118000000,12153000000,12153000000,20245000000,0,20245000000,663000000,5501000000,4643000000
