date,symbol,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncome,netIncomeRatio
2024-12-31,PLTR,FY,2865507000,565990000,2299517000,507878000,593481000,887755000,1481236000,0,1989114000,2555104000,196792000,0,31587000,341990000,310403000,178770000,489173000,21255000,462190000,0.1612943189
2023-12-31,PLTR,FY,2225012000,431105000,1793907000,404624000,524325000,744992000,1269317000,0,1673941000,2105046000,132572000,3470000,33354000,153320000,119966000,117125000,237091000,19716000,209825000,0.0943028622
2022-12-31,PLTR,FY,1905871000,408549000,1497322000,359679000,596333000,702511000,1298844000,-216077000,1658523000,2067072000,20309000,4058000,22522000,-334447000,-161201000,-199826000,-361027000,10067000,-373705000,-0.196080952
2021-12-31,PLTR,FY,1541889000,339404000,1202485000,387487000,611532000,614512000,1226044000,-75415000,1613531000,1952935000,1607000,3640000,14897000,-469957000,-411046000,-77448000,-488494000,31885000,-520379000,-0.337494463
2020-12-31,PLTR,FY,1092673000,352547000,740126000,560660000,669444000,683701000,1353145000,3300000,1913805000,2266352000,4680000,14139000,13871000,-1151017000,-1173679000,-5348000,-1179027000,-12636000,-1166391000,-1.0674657468
