date,symbol,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncome,netIncomeRatio
2024-09-28,AAPL,FY,391035000000,210352000000,180683000000,31370000000,0,0,26097000000,0,57467000000,267819000000,0,0,11445000000,134661000000,123216000000,269000000,123485000000,29749000000,93736000000,0.2397125577
2023-09-30,AAPL,FY,383285000000,214137000000,169148000000,29915000000,0,0,24932000000,0,54847000000,268984000000,3750000000,3933000000,11519000000,125820000000,114301000000,-565000000,113736000000,16741000000,96995000000,0.2530623426
2022-09-24,AAPL,FY,394328000000,223546000000,170782000000,26251000000,0,0,25094000000,0,51345000000,274891000000,2825000000,2931000000,11104000000,130541000000,119437000000,-334000000,119103000000,19300000000,99803000000,0.2530964071
2021-09-25,AAPL,FY,365817000000,212981000000,152836000000,21914000000,0,0,21973000000,0,43887000000,256868000000,2843000000,2645000000,11284000000,123136000000,108949000000,258000000,109207000000,14527000000,94680000000,0.2588179336
2020-09-26,AAPL,FY,274515000000,169559000000,104956000000,18752000000,0,0,19916000000,0,38668000000,208227000000,3763000000,2873000000,11056000000,81020000000,66288000000,803000000,67091000000,9680000000,57411000000,0.2091361128
