date,symbol,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,PYPL,FY,4147000000,1032000000,231000000,1230000000,-558000000,85000000,0,83000000,-726000000,1368000000,7450000000,-683000000,0,-26633000000,27299000000,1606000000,1589000000,-115000000,95000000,-6047000000,0,-2209000000,-8276000000,-207000000,556000000,22390000000,21834000000,7450000000,-683000000,6767000000
2023-12-31,PYPL,FY,4246000000,1072000000,-668000000,1475000000,-1314000000,-114000000,0,7000000,-1207000000,32000000,4843000000,-623000000,466000000,-21980000000,24295000000,-1406000000,752000000,475000000,127000000,-5002000000,0,1407000000,-2993000000,76000000,2678000000,21834000000,19156000000,4843000000,-623000000,4220000000
2022-12-31,PYPL,FY,2419000000,1317000000,-811000000,1261000000,-454000000,-163000000,0,-35000000,-256000000,2081000000,5813000000,-706000000,0,-20219000000,23411000000,-5814000000,-3328000000,1789000000,143000000,-4199000000,0,1064000000,-1203000000,-155000000,1127000000,19156000000,18029000000,5813000000,-706000000,5107000000
2021-12-31,PYPL,FY,4169000000,1265000000,-482000000,1376000000,-1645000000,-222000000,0,-31000000,-1392000000,1114000000,5797000000,-908000000,-2763000000,-40116000000,39698000000,-1060000000,-5149000000,-89000000,162000000,-3373000000,0,2743000000,-557000000,-102000000,-11000000,18029000000,18040000000,5797000000,-908000000,4889000000
2020-12-31,PYPL,FY,4202000000,1189000000,165000000,1376000000,-587000000,-100000000,0,-4000000,-483000000,-126000000,6219000000,-866000000,-3609000000,-41513000000,30908000000,-1465000000,-16545000000,3966000000,137000000,-1635000000,0,9986000000,12454000000,169000000,2297000000,18040000000,15743000000,6219000000,-866000000,5353000000
