date,symbol,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,NOK,FY,1284000000,1014000000,385000000,241000000,-569000000,-364000000,404000000,0,-609000000,138000000,2493000000,-472000000,193000000,-1204000000,1208000000,158000000,-117000000,-600000000,0,-680000000,-723000000,0,-2003000000,16000000,389000000,6623000000,6234000000,2493000000,-472000000,2021000000
2023-12-31,NOK,FY,679000000,1087000000,825000000,202000000,-1282000000,304000000,478000000,0,-2064000000,-194000000,1317000000,-652000000,-2000000,-1938000000,3416000000,219000000,1043000000,-581000000,0,-300000000,-611000000,-10000000,-1502000000,-91000000,767000000,6234000000,5467000000,1317000000,-652000000,665000000
2022-12-31,NOK,FY,4259000000,1140000000,-2030000000,149000000,-1843000000,-451000000,-991000000,-401000000,-401000000,-201000000,1474000000,-601000000,-20000000,-3710000000,2446000000,5000000,-1880000000,-184000000,0,-300000000,-353000000,0,-837000000,19000000,-1224000000,5467000000,6691000000,1474000000,-601000000,873000000
2021-12-31,NOK,FY,1646000000,1095000000,273000000,118000000,-268000000,239000000,-48000000,-459000000,-459000000,-228000000,2626000000,-560000000,-33000000,-1922000000,675000000,45000000,-1795000000,-1203000000,0,0,-9000000,0,-1212000000,133000000,-249000000,6691000000,6940000000,2626000000,-560000000,2066000000
2020-12-31,NOK,FY,-2424000000,1132000000,3254000000,76000000,-744000000,-418000000,547000000,-845000000,-28000000,465000000,1759000000,-479000000,-93000000,-1213000000,245000000,23000000,-1517000000,1032000000,0,0,-148000000,0,883000000,-95000000,1030000000,6940000000,5910000000,1759000000,-479000000,1280000000
