date,symbol,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2024-09-01,COST,FY,9906000000,1238000000,11144000000,2721000000,18647000000,1734000000,34246000000,31649000000,0,0,0,0,0,3936000000,35585000000,0,69831000000,19421000000,103000000,0,0,15940000000,35464000000,8169000000,0,0,2576000000,10745000000,0,2375000000,46209000000,0,2000000,17619000000,-1828000000,7829000000,23622000000,23622000000,69831000000,0,69831000000,1238000000,8272000000,-1634000000
2023-09-03,COST,FY,13700000000,1534000000,15234000000,2285000000,16651000000,1709000000,35879000000,30722000000,994000000,0,994000000,-491000000,491000000,1399000000,33115000000,0,68994000000,17483000000,1081000000,0,8765000000,15019000000,33583000000,7803000000,-795000000,795000000,2550000000,10353000000,0,2426000000,43936000000,0,2000000,19521000000,-1805000000,7340000000,25058000000,25058000000,68994000000,0,68994000000,1534000000,8884000000,-4816000000
2022-08-28,COST,FY,10203000000,846000000,11049000000,2241000000,17907000000,1499000000,32696000000,29040000000,993000000,0,993000000,0,0,1437000000,31470000000,0,64166000000,17848000000,73000000,0,8466000000,14077000000,31998000000,8966000000,0,0,2555000000,11521000000,0,2482000000,43519000000,0,2000000,15585000000,-1829000000,6884000000,20642000000,20647000000,64166000000,5000000,64166000000,846000000,9039000000,-1164000000
2021-08-29,COST,FY,11258000000,917000000,12175000000,1803000000,14215000000,1312000000,29505000000,27382000000,996000000,0,996000000,0,0,1385000000,29763000000,0,59268000000,16278000000,799000000,0,7803000000,12364000000,29441000000,9334000000,0,0,2415000000,11749000000,0,2642000000,41190000000,0,4000000,11666000000,-1137000000,7031000000,17564000000,18078000000,59268000000,514000000,59268000000,917000000,10133000000,-1125000000
2020-08-30,COST,FY,12277000000,1028000000,13305000000,1550000000,12242000000,1023000000,28120000000,25187000000,988000000,0,988000000,0,0,1261000000,27436000000,0,55556000000,14172000000,95000000,0,6849000000,10577000000,24844000000,10072000000,0,0,1935000000,12007000000,0,2558000000,36851000000,0,4000000,12879000000,-1297000000,6698000000,18284000000,18705000000,55556000000,421000000,55556000000,1028000000,10167000000,-2110000000
