date,symbol,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-11-30,CCL,FY,0,2557000000,0,62000000,0,-49000000,9000000,-26000000,0,3304000000,5923000000,-4626000000,0,0,0,91000000,-4535000000,-2341000000,0,0,0,-243000000,-2584000000,-8000000,-1204000000,1232000000,2436000000,5923000000,-4626000000,1297000000
2023-11-30,CCL,FY,-74000000,2370000000,0,53000000,1525000000,-180000000,-85000000,77000000,1713000000,407000000,4281000000,-3284000000,0,0,0,474000000,-2810000000,-4899000000,27000000,-20000000,0,-195000000,-5089000000,17000000,-3601000000,2436000000,6037000000,4281000000,-3284000000,997000000
2022-11-30,CCL,FY,-6093000000,2275000000,0,101000000,1163000000,-171000000,-95000000,283000000,1146000000,884000000,-1670000000,-4940000000,-1000000,-315000000,515000000,-26000000,-4767000000,2544000000,1275000000,-87000000,0,-147000000,3577000000,-79000000,-2939000000,6037000000,8976000000,-1670000000,-4940000000,-6610000000
2021-11-30,CCL,FY,-9501000000,2233000000,1631000000,121000000,958000000,-476000000,-63000000,206000000,1291000000,449000000,-4109000000,-3607000000,-90000000,-2873000000,2676000000,351000000,-3543000000,6793000000,1215000000,-188000000,0,-853000000,6949000000,-13000000,-716000000,8976000000,9692000000,-4109000000,-3607000000,-7716000000
2020-11-30,CCL,FY,-10236000000,2241000000,4605000000,105000000,-3186000000,-395000000,77000000,-165000000,-2703000000,170000000,-6301000000,-3620000000,-81000000,207000000,127000000,127000000,-3240000000,16251000000,3249000000,-12000000,-689000000,-149000000,18650000000,53000000,9162000000,9692000000,530000000,-6301000000,-3620000000,-9921000000
