date,symbol,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,UBER,FY,9845000000,737000000,-6027000000,1796000000,2374000000,-142000000,0,86000000,2430000000,-1588000000,7137000000,-242000000,17000000,-13054000000,10204000000,-102000000,-3177000000,-186000000,0,-1252000000,0,-649000000,-2087000000,-267000000,1606000000,8610000000,7004000000,7137000000,-242000000,6895000000
2023-12-31,UBER,FY,1887000000,823000000,26000000,1935000000,165000000,-758000000,0,64000000,859000000,-1251000000,3585000000,-223000000,721000000,-8826000000,5864000000,-762000000,-3226000000,-47000000,130000000,130000000,0,-48000000,-95000000,63000000,327000000,7004000000,6677000000,3585000000,-223000000,3362000000
2022-12-31,UBER,FY,-9138000000,947000000,-441000000,1793000000,335000000,-542000000,0,-133000000,1010000000,7146000000,642000000,-252000000,-33000000,-1722000000,376000000,-6000000,-1637000000,-264000000,255000000,0,0,24000000,15000000,-148000000,-1128000000,6677000000,7805000000,642000000,-252000000,390000000
2021-12-31,UBER,FY,-570000000,902000000,-692000000,1168000000,1682000000,-597000000,813000000,90000000,1376000000,-2935000000,-445000000,-298000000,-1314000000,-2095000000,2791000000,-285000000,-1201000000,924000000,675000000,0,0,1531000000,1780000000,-69000000,414000000,7805000000,7391000000,-445000000,-298000000,-743000000
2020-12-31,UBER,FY,-6788000000,575000000,-266000000,827000000,732000000,142000000,387000000,-133000000,336000000,2175000000,-2745000000,-616000000,-1380000000,-2111000000,1360000000,-122000000,-2869000000,986000000,372000000,0,0,393000000,1379000000,-92000000,-4676000000,7391000000,12067000000,-2745000000,-616000000,-3361000000
