date,symbol,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,UNH,FY,15242000000,4099000000,-296000000,1018000000,-808000000,0,0,0,-808000000,4949000000,24204000000,-3499000000,-13408000000,-27308000000,27833000000,-4145000000,-20527000000,14660000000,1846000000,-9000000000,-7533000000,-3485000000,-3512000000,-61000000,-115000000,25312000000,25427000000,24204000000,-3499000000,20705000000
2023-12-31,UNH,FY,22381000000,3972000000,-245000000,1059000000,1643000000,-3114000000,1038000000,3516000000,203000000,258000000,29068000000,-3386000000,-10136000000,-18314000000,16537000000,-275000000,-15574000000,4280000000,1353000000,-8000000000,-6761000000,-2401000000,-11529000000,97000000,2062000000,25427000000,23365000000,29068000000,-3386000000,25682000000
2022-12-31,UNH,FY,20120000000,3400000000,-1004000000,925000000,2246000000,-2523000000,0,1964000000,2805000000,-331000000,26206000000,-2802000000,-21458000000,-18825000000,11988000000,2621000000,-28476000000,12536000000,1253000000,-7000000000,-5991000000,2175000000,4226000000,34000000,1990000000,23365000000,21375000000,26206000000,-2802000000,23404000000
2021-12-31,UNH,FY,17285000000,3103000000,-814000000,800000000,1522000000,-1000000000,-1031000000,3863000000,-310000000,6639000000,22343000000,-2454000000,-4821000000,-1843000000,15296000000,-16550000000,-10372000000,2481000000,1355000000,-5000000000,-5280000000,-2366000000,-7455000000,-62000000,4454000000,21375000000,16921000000,22343000000,-2454000000,19889000000
2020-12-31,UNH,FY,15769000000,2891000000,-60000000,679000000,2895000000,-688000000,-2195000000,5500000000,278000000,-52000000,22174000000,-2051000000,-7139000000,-16577000000,13741000000,-506000000,-12532000000,2586000000,1440000000,-4250000000,-4584000000,2090000000,-3590000000,-116000000,5936000000,16921000000,10985000000,22174000000,-2051000000,20123000000
