date,symbol,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-05-31,FDX,FY,4331000000,4287000000,0,163000000,-3431000000,-270000000,0,-2553000000,-608000000,2962000000,8312000000,-5176000000,0,-176000000,38000000,114000000,-5200000000,-147000000,491000000,-2500000000,-1259000000,-11000000,-3426000000,-41000000,-355000000,6501000000,6856000000,8312000000,-5176000000,3136000000
2023-05-31,FDX,FY,3972000000,4176000000,-182000000,182000000,-3173000000,782000000,0,-3331000000,-624000000,3840000000,8815000000,-6174000000,84000000,-84000000,-84000000,84000000,-6174000000,-152000000,231000000,-1500000000,-1177000000,1000000,-2597000000,-118000000,-74000000,6823000000,6897000000,8815000000,-6174000000,2641000000
2022-05-31,FDX,FY,3826000000,3970000000,2931000000,190000000,-3119000000,-310000000,0,-1861000000,-948000000,2034000000,9832000000,-6763000000,94000000,-147000000,-94000000,94000000,-6816000000,-161000000,184000000,-2248000000,-793000000,-1000000,-3019000000,-187000000,-190000000,6897000000,7087000000,9832000000,-6763000000,3069000000
2021-05-31,FDX,FY,5231000000,3793000000,2887000000,200000000,-1872000000,-1389000000,1389000000,71000000,-1943000000,-104000000,10135000000,-5884000000,-228000000,0,0,102000000,-6010000000,-2106000000,740000000,0,-686000000,-38000000,-2090000000,171000000,2206000000,7087000000,4881000000,10135000000,-5884000000,4251000000
2020-05-31,FDX,FY,1286000000,3615000000,1061000000,168000000,-4092000000,-1331000000,1331000000,-1787000000,-2305000000,3059000000,5097000000,-5868000000,22000000,0,0,22000000,-5846000000,4008000000,64000000,-3000000,-679000000,-9000000,3381000000,-70000000,2562000000,4881000000,2319000000,5097000000,-5868000000,-771000000
