date,symbol,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncome,netIncomeRatio
2024-12-31,META,FY,164501000000,30161000000,134340000000,43873000000,9740000000,11347000000,21087000000,0,64960000000,95121000000,2517000000,715000000,15498000000,86876000000,69380000000,1283000000,70663000000,8303000000,62360000000,0.3790858414
2023-12-31,META,FY,134902000000,25959000000,108943000000,38483000000,11408000000,12301000000,23709000000,0,62192000000,88151000000,1639000000,446000000,11178000000,59052000000,46751000000,677000000,47428000000,8330000000,39098000000,0.2898252064
2022-12-31,META,FY,116609000000,25249000000,91360000000,35338000000,11816000000,15262000000,27078000000,-320000000,62416000000,87665000000,276000000,276000000,8686000000,42241000000,33555000000,-125000000,28819000000,5619000000,23200000000,0.1989554837
2021-12-31,META,FY,117929000000,22649000000,95280000000,24655000000,9829000000,14043000000,23872000000,210000000,48527000000,71176000000,531000000,461000000,7967000000,54720000000,46753000000,531000000,47284000000,7914000000,39370000000,0.3338449406
2020-12-31,META,FY,85965000000,16692000000,69273000000,18447000000,6564000000,11591000000,18155000000,-34000000,36602000000,53294000000,509000000,672000000,6862000000,39533000000,32671000000,509000000,33180000000,4034000000,29146000000,0.3390449602
