date,symbol,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2025-01-31,ZM,FY,1349380000,6442329000,7791709000,495228000,0,389037000,8675974000,386375000,307295000,58649000,365944000,591481000,749759000,277537000,2312447000,0,10988421000,8345000,27026000,60570000,1336387000,558562000,1903294000,37406000,0,0,150043000,150043000,0,64432000,2053337000,0,305000,3799518000,4990000,5130271000,8935084000,8935084000,10988421000,0,10988421000,7033810000,64432000,-1284948000
2024-01-31,ZM,FY,1558252000,5404233000,6962485000,536078000,0,427656000,7926219000,352679000,307295000,72174000,379469000,409222000,662177000,200027000,2003574000,0,9929793000,10175000,24645000,57340000,1291990000,378037000,1762187000,48308000,18514000,0,81378000,148200000,0,72953000,1910387000,0,307000,2789280000,1063000,5228756000,8019406000,8019406000,9929793000,0,9929793000,5813455000,72953000,-1485299000
2023-01-31,ZM,FY,1086830000,4325836000,5412666000,557404000,223250000,386342000,6356412000,333727000,122641000,56659000,122641000,398992000,558428000,357865000,1771653000,0,8128065000,14414000,22790000,80300000,1266514000,354626000,1738644000,73687000,41932000,0,67195000,182814000,0,96477000,1921458000,0,294000,2151818000,-50385000,4104880000,6206607000,6206607000,8128065000,0,8128065000,4724828000,96477000,-990353000
2022-01-31,ZM,FY,1062820000,4356446000,5419266000,419673000,322168000,344868000,6183807000,318319000,27607000,23992000,27607000,367814000,382296000,271475000,1367511000,0,7551318000,7841000,20697000,90273000,1141435000,319445000,1579691000,85018000,38481000,0,68110000,191609000,0,105715000,1771300000,0,299000,2048107000,-17902000,3749514000,5780018000,5780018000,7551318000,0,7551318000,4724260000,105715000,-957105000
2021-01-31,ZM,FY,2240303000,2004410000,4244713000,294703000,247807000,253449000,4792865000,247573000,24340000,10816000,24340000,18668000,138594000,75953000,505128000,0,5297993000,8664000,15601000,27453000,858284000,349964000,1259966000,90415000,25211000,0,61634000,177260000,0,106016000,1437226000,0,292000,672468000,839000,3187168000,3860767000,3860767000,5297993000,0,5297993000,2023078000,90415000,-2149888000
