date,symbol,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncome,netIncomeRatio
2024-12-31,RKT,FY,5401391000,469230000,4932161000,0,3154399000,824042000,3978441000,285668000,4264109000,4733339000,413159000,469230000,112917000,780969000,668052000,0,668052000,32224000,29370000,0.0054374882
2023-12-31,RKT,FY,4005857000,359974000,3645883000,0,3060156000,736676000,3796832000,251948000,4048780000,4408754000,327448000,359974000,110271000,-292626000,-402897000,0,-402897000,-12817000,-15514000,-0.0038728292
2022-12-31,RKT,FY,6004881000,319984000,5684897000,0,3704063000,945694000,4649757000,293229000,4942986000,5262970000,350591000,319984000,94020000,835931000,741911000,0,741911000,41978000,46421000,0.0077305445
2021-12-31,RKT,FY,13175612000,491886000,12683726000,0,4540233000,1249583000,5789816000,709009000,6498825000,6990711000,430086000,491886000,74713000,6259614000,6184901000,0,6184901000,112738000,308210000,0.0233924618
2020-12-31,RKT,FY,15895590000,431824000,15463766000,0,4291381000,949933000,5241314000,690795000,5932109000,6363933000,329593000,431824000,74316000,9605973000,9531657000,0,9531657000,132381000,197951000,0.0124532024
