date,symbol,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2024-12-31,PLTR,FY,2098524000,3131463000,5229987000,575048000,0,129254000,5934289000,240378000,0,0,0,0,0,166217000,406595000,0,6340884000,103000,43993000,0,259624000,692298000,996018000,195226000,0,0,55233000,250459000,0,0,1246477000,0,2339000,-5187423000,-5611000,10193970000,5003275000,5094407000,6340884000,91132000,6340884000,3131463000,239219000,-1859305000
2023-12-31,PLTR,FY,831047000,2843132000,3674179000,364784000,0,99655000,4138618000,230621000,0,0,0,0,0,153186000,383807000,0,4522425000,12122000,108352000,47257000,246901000,331386000,746018000,175216000,28047000,0,12179000,215442000,0,229392000,961460000,0,2200000,-5649613000,801000,9122173000,3475561000,3560965000,4522425000,85404000,4522425000,2843132000,229392000,-601655000
2022-12-31,PLTR,FY,2598540000,35135000,2633675000,258346000,16244000,149556000,3041577000,269410000,0,0,0,12551000,0,137701000,419662000,0,3461239000,44788000,90198000,41326000,325339000,228279000,587941000,204305000,13901000,0,16591000,230861000,0,249404000,818802000,0,2099000,-5859438000,-5333000,8427998000,2565326000,2642437000,3461239000,77111000,3461239000,35135000,249404000,-2349136000
2021-12-31,PLTR,FY,2290674000,234153000,2524827000,190923000,36628000,147500000,2863250000,248202000,0,0,0,39612000,0,96386000,384200000,0,3247450000,74907000,79854000,22550000,389421000,254934000,660061000,220146000,73916000,0,76213000,296359000,0,260073000,956420000,0,2027000,-5485733000,-2349000,7777085000,2291030000,2291030000,3247450000,0,3247450000,234153000,260073000,-2030601000
2020-12-31,PLTR,FY,2011323000,0,2011323000,156932000,37285000,89174000,2257429000,246616000,0,0,0,79538000,0,106921000,433075000,0,2690504000,16358000,58158000,0,399840000,339787000,603823000,427777000,132038000,0,85829000,564131000,0,258879000,1167954000,2690504000,1792000,-4965354000,-2745000,6488857000,1522550000,1522550000,2690504000,0,2690504000,79538000,456856000,-1554467000
