date,symbol,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,AAL,FY,846000000,1926000000,308000000,89000000,815000000,35000000,0,257000000,523000000,-1000000,3983000000,0,0,-7194000000,8013000000,-1787000000,-968000000,-2797000000,0,0,0,3000000,-2794000000,0,221000000,902000000,681000000,3983000000,0,1300000000
2023-12-31,AAL,FY,822000000,2254000000,299000000,102000000,236000000,95000000,0,0,141000000,90000000,3803000000,-2596000000,0,-7323000000,8861000000,556000000,-502000000,-2896000000,0,0,0,-310000000,-3206000000,0,95000000,681000000,586000000,3803000000,-2596000000,1207000000
2022-12-31,AAL,FY,127000000,2298000000,65000000,78000000,-637000000,-637000000,-1776000000,549000000,1227000000,242000000,2173000000,-2906000000,-321000000,-11617000000,14972000000,508000000,636000000,-2687000000,0,-21000000,-3549000000,56000000,-2631000000,-237000000,178000000,586000000,408000000,2173000000,-2906000000,-733000000
2021-12-31,AAL,FY,-1993000000,2335000000,-555000000,98000000,1041000000,-290000000,-45000000,335000000,1041000000,-222000000,704000000,-208000000,-23000000,-19658000000,13923000000,-17000000,-5983000000,4847000000,460000000,-18000000,0,-19000000,5288000000,0,9000000,408000000,399000000,704000000,-208000000,496000000
2020-12-31,AAL,FY,-8885000000,2370000000,-2568000000,91000000,1217000000,538000000,88000000,-626000000,1217000000,1232000000,-6543000000,-1958000000,1958000000,-5873000000,2803000000,-1272000000,-4342000000,8245000000,2970000000,-173000000,-43000000,-5000000,10994000000,0,109000000,399000000,290000000,-6543000000,-1958000000,-8501000000
