date,symbol,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,RIOT,FY,109401000,212053000,0,125204000,21718000,0,0,0,21718000,-723428000,-255052000,-240340000,-7203000,0,0,-1261262000,-1508805000,588163000,977030000,-11562000,0,-35642000,1517989000,0,-245868000,351301000,597169000,-255052000,-1267516000,-1522568000
2023-12-31,RIOT,FY,-49472000,252354000,-5045000,32170000,-1964000,0,0,0,-1964000,-194958000,33085000,-424101000,0,-4500000,0,13835000,-414766000,861000,778430000,-14035000,0,-16734000,748522000,0,366841000,597169000,230328000,33085000,-424135000,-391050000
2022-12-31,RIOT,FY,-509553000,120131000,-11749000,24555000,95076000,-11534000,0,-1593000,108203000,282070000,530000,-352862000,704000,0,1808000,-4513000,-354863000,0,304849000,-10138000,0,-22365000,272346000,0,-81987000,230328000,312315000,530000,-352862000,-352332000
2021-12-31,RIOT,FY,-7926000,26599000,254000,68491000,-187322000,-4446000,-172716000,-2770000,-7390000,13527000,-86377000,-421979000,-70446000,30000,1800000,265000,-490330000,0,684817000,-5082000,0,-14095000,665640000,0,88933000,312315000,223382000,-86377000,-421979000,-508356000
2020-12-31,RIOT,FY,-12667000,4861000,5189000,3407000,-10482000,0,0,929000,-11411000,-1455000,-11147000,-41276000,146000,-146000,8298000,146000,-32832000,0,264727000,-446000,0,-4360000,259921000,0,215942000,223382000,7440000,-11147000,-41276000,-52423000
