date,symbol,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-29,JNJ,FY,14066000000,7339000000,-2183000000,1176000000,1837000000,-406000000,-1128000000,1621000000,1750000000,2031000000,24266000000,-4424000000,-15146000000,-1726000000,2462000000,235000000,-18599000000,10051000000,0,-2432000000,-11823000000,1072000000,-3132000000,-289000000,2246000000,24105000000,21859000000,24266000000,-4424000000,19842000000
2023-12-31,JNJ,FY,13326000000,7486000000,-4194000000,1162000000,2507000000,-624000000,-1323000000,2346000000,2108000000,2504000000,22791000000,-4543000000,0,-10906000000,19390000000,-3063000000,878000000,-2734000000,4241000000,-5054000000,-11770000000,-508000000,-15825000000,-112000000,7732000000,21859000000,14127000000,22791000000,-4543000000,18248000000
2023-01-01,JNJ,FY,17941000000,6970000000,-1663000000,1138000000,-4011000000,-1290000000,-2527000000,1098000000,-1292000000,819000000,21194000000,-4009000000,-17652000000,-32384000000,41609000000,65000000,-12371000000,-2132000000,0,-6035000000,-11682000000,10978000000,-8871000000,-312000000,-360000000,14127000000,14487000000,21194000000,-4009000000,17185000000
2022-01-02,JNJ,FY,20878000000,7390000000,-2079000000,1135000000,-4238000000,-2402000000,-1248000000,2437000000,-3025000000,324000000,23410000000,-3652000000,-60000000,-30394000000,25006000000,417000000,-8683000000,-990000000,0,-3456000000,-11032000000,1431000000,-14047000000,-178000000,502000000,14487000000,13985000000,23410000000,-3652000000,19758000000
2021-01-03,JNJ,FY,14714000000,7231000000,-1141000000,1005000000,2690000000,774000000,-265000000,5141000000,-2960000000,-963000000,23536000000,-3347000000,-7323000000,-21089000000,12137000000,-1203000000,-20825000000,7095000000,0,-3221000000,-10481000000,487000000,-6120000000,89000000,-3320000000,13985000000,17305000000,23536000000,-3347000000,20189000000
