date,symbol,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,GS,FY,14276000000,2392000000,-800000000,2663000000,-33091000000,0,0,0,-33091000000,1348000000,-13212000000,-2091000000,3622000000,-92096000000,56373000000,-15432000000,-49624000000,10581000000,0,-10200000000,-4497000000,9239000000,7323000000,-3972000000,-59485000000,182092000000,241577000000,-13212000000,-2091000000,-15303000000
2023-12-31,GS,FY,8516000000,4856000000,-1360000000,2085000000,-27712000000,0,0,0,-27712000000,1028000000,-12587000000,-2316000000,487000000,-40256000000,26848000000,-2075000000,-17312000000,-4713000000,1496000000,-7141000000,-4189000000,42498000000,27800000000,1851000000,-248000000,241577000000,241825000000,-12587000000,-2316000000,-14903000000
2022-12-31,GS,FY,11261000000,2455000000,-2412000000,4083000000,-9394000000,35014000000,0,0,-44408000000,2715000000,8708000000,-3748000000,-2115000000,-60536000000,12961000000,-22522000000,-75960000000,38147000000,0,-3500000000,-3682000000,28637000000,59602000000,-11561000000,-19211000000,241825000000,261036000000,8708000000,-3748000000,4960000000
2021-12-31,GS,FY,21635000000,2015000000,5000000,2348000000,-25439000000,21971000000,0,0,-47410000000,357000000,921000000,-4667000000,3933000000,-39912000000,45701000000,-35520000000,-30465000000,39131000000,2172000000,-7875000000,-2725000000,103532000000,134738000000,-5377000000,105194000000,261036000000,155842000000,921000000,-4667000000,-3746000000
2020-12-31,GS,FY,9459000000,1902000000,-833000000,1920000000,-29273000000,-30895000000,0,0,1622000000,3097000000,-13728000000,-6309000000,-231000000,-48670000000,29057000000,-8203000000,-34356000000,6703000000,349000000,-2278000000,-2336000000,67941000000,70380000000,4807000000,22296000000,155842000000,133546000000,-13728000000,-6309000000,-20037000000
