date,symbol,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2022-12-31,TWTR,FY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2194689000,2194689000,0,0,0
2021-12-31,TWTR,FY,-221409000,544848000,-228774000,629901000,189184000,-189946000,0,20869000,358261000,-96910000,816840000,-1011546000,-24240000,-3845920000,4984394000,-50065000,52623000,252697000,231992000,-930530000,-68792000,41810000,-656974000,-13080000,203973000,2194689000,1990716000,816840000,-1011546000,-194706000
2020-12-31,TWTR,FY,-1135626000,495177000,1064396000,474932000,127936000,-188039000,-22788000,18232000,320531000,118586000,1145401000,-873354000,-38846000,-6284307000,5646992000,-11050000,-1560565000,962276000,60913000,-245292000,-55471000,32884000,602779000,-4005000,189772000,1990716000,1800944000,1145401000,-873354000,272047000
2019-12-31,TWTR,FY,1465659000,465549000,-1122511000,378025000,148905000,-67000000,-67126000,2946000,280085000,97942000,1433569000,-540688000,-23506000,-5849274000,5295213000,2281000,-1115974000,-309747000,0,42378000,-42378000,22784000,-416380000,4576000,-95200000,1800944000,1896144000,1433569000,-540688000,892881000
2018-12-31,TWTR,FY,1205596000,425498000,-801720000,326228000,89322000,-130871000,-5372999000,-1533000,5594725000,94787000,1339711000,-483934000,-33572000,-5337771000,3791694000,8070000,-2055513000,964676000,19165000,29288000,-29288000,-19263000,978116000,-14296000,248018000,1921875000,1673857000,1339711000,-483934000,855777000
