date,symbol,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2022-12-31,TWTR,FY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-31,TWTR,FY,2194689000,4207133000,6401822000,1217404000,0,307284000,7918370000,3277284000,1301520000,1370844000,2672364000,223396000,1148573000,-1180471000,6141146000,0,14059516000,203171000,222346000,47830000,78541000,870520000,1343867000,5324228000,1071209000,40691000,43531000,5408450000,0,1071209000,6752317000,0,4000,-1002302000,-117320000,8426817000,7307199000,7307199000,14059516000,0,14059516000,4430529000,5546574000,3351885000
2020-12-31,TWTR,FY,1990716000,5483873000,7474589000,1041743000,0,123063000,8637108000,2423933000,1312346000,1370684000,2683030000,106360000,796326000,-1267667000,4741982000,0,13379090000,194281000,1095580000,40384000,58976000,622581000,1952826000,3388620000,819748000,31463000,36099000,3456182000,0,819748000,5409008000,0,4000,-1125669000,-66094000,9161841000,7970082000,7970082000,13379090000,0,13379090000,5590233000,4484200000,2493484000
2019-12-31,TWTR,FY,1800944000,4839970000,6640914000,850184000,0,130839000,7620075000,1728876000,1256699000,1311805000,2568504000,104422000,1908086000,-1226574000,5083314000,0,12703389000,161148000,170435000,45967000,68987000,454926000,832476000,3118250000,609450000,24170000,24107000,3166527000,0,609450000,3999003000,0,4000,11586000,-70534000,8763330000,8704386000,8704386000,12703389000,0,12703389000,4944392000,3288685000,1487741000
2018-12-31,TWTR,FY,1894444000,4314957000,6209401000,809486000,0,112935000,7111036000,885078000,1227269000,45025000,1272294000,0,808459000,85705000,3051536000,0,10162572000,145186000,965374000,39729000,38949000,366022000,1516311000,1755316000,0,17849000,67502000,1840667000,0,24394000,3356978000,0,4000,-1454073000,-65311000,8324974000,6805594000,6805594000,10162572000,0,10162572000,4314957000,2696296000,801852000
