date,symbol,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncome,netIncomeRatio
2025-01-31,DOCU,FY,2976739000,621659000,2355080000,588455000,375983000,1160993000,1536976000,29721000,2155152000,2747090000,49563000,1550000,107804000,355745000,199928000,48013000,247941000,-819944000,1067885000,0.3587432422
2024-01-31,DOCU,FY,2761882000,572621000,2189261000,539488000,419621000,1168137000,1587758000,0,2127246000,2730270000,68889000,6844000,95062000,195585000,31634000,62045000,93679000,19699000,73980000,0.0267860828
2023-01-31,DOCU,FY,2515915000,536088000,1979827000,480584000,316228000,1242711000,1558939000,0,2039523000,2575611000,4539000,6389000,86255000,2763000,-55157000,-1850000,-89881000,7573000,-97454000,-0.0387350129
2022-01-31,DOCU,FY,2107213000,466451000,1640762000,393362000,232757000,1076527000,1309284000,0,1702646000,2169097000,1413000,6443000,81913000,21442000,-60471000,-6443000,-66914000,3062000,-69976000,-0.0332078437
2021-01-31,DOCU,FY,1453047000,364058000,1088989000,271522000,192697000,798625000,991322000,-753000,1262844000,1626902000,8914000,30799000,71090000,-127603000,-173855000,-55637000,-229492000,13775000,-243267000,-0.167418535
