date,symbol,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,C,FY,12684000000,4311000000,-1896000000,0,-59031000000,0,0,0,-59031000000,24263000000,-19669000000,-6500000000,0,-267424000000,301641000000,58533000000,86250000000,17166000000,0,-7524000000,-5199000000,-47797000000,-38304000000,-12677000000,15600000000,276532000000,260932000000,-19669000000,-6500000000,-26169000000
2023-12-31,C,FY,9049000000,4560000000,-2416000000,1819000000,-99387000000,0,0,0,-99387000000,12959000000,-73416000000,-6583000000,56000000,-236512000000,246936000000,-12356000000,-8459000000,860000000,2739000000,-6122000000,-5212000000,7345000000,687000000,95000000,-81093000000,260932000000,342025000000,-73416000000,-6583000000,-79999000000
2022-12-31,C,FY,15076000000,4262000000,-1141000000,1839000000,19553000000,0,0,0,19553000000,-14520000000,25069000000,-5632000000,5741000000,-261650000000,232809000000,-50723000000,-79455000000,66786000000,0,-3250000000,-5003000000,79230000000,137763000000,-3385000000,79992000000,342025000000,262033000000,25069000000,-5632000000,19437000000
2021-12-31,C,FY,21945000000,3964000000,1413000000,1685000000,38864000000,0,0,0,38864000000,-1287000000,61249000000,-4119000000,4119000000,-359158000000,268828000000,-34575000000,-124905000000,-4292000000,0,-11386000000,-5198000000,34215000000,17272000000,-1198000000,-47582000000,262033000000,309615000000,61249000000,-4119000000,57130000000
2020-12-31,C,FY,11067000000,3937000000,-2333000000,1464000000,-53182000000,0,0,0,-53182000000,4113000000,-20621000000,-3446000000,3446000000,-334900000000,270514000000,-30926000000,-95312000000,13056000000,0,-4425000000,-5352000000,228816000000,233595000000,-1966000000,115696000000,309615000000,193919000000,-20621000000,-3446000000,-24067000000
