date,symbol,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncome,netIncomeRatio
2025-01-26,NVDA,FY,130497000000,32639000000,97858000000,12914000000,0,0,3491000000,0,16405000000,49044000000,1786000000,247000000,1864000000,86137000000,81453000000,2573000000,84026000000,11146000000,72880000000,0.5584802716
2024-01-28,NVDA,FY,60922000000,16621000000,44301000000,8675000000,0,0,2654000000,0,11329000000,27950000000,866000000,257000000,1508000000,35583000000,32972000000,846000000,33818000000,4058000000,29760000000,0.4884934835
2023-01-29,NVDA,FY,26974000000,11618000000,15356000000,7339000000,0,0,2440000000,1353000000,11132000000,22750000000,267000000,262000000,1544000000,5987000000,4224000000,-43000000,4181000000,-187000000,4368000000,0.1619337139
2022-01-30,NVDA,FY,26914000000,9439000000,17475000000,5268000000,0,0,2166000000,0,7434000000,16873000000,29000000,236000000,1174000000,11351000000,10041000000,-100000000,9941000000,189000000,9752000000,0.362339303
2021-01-31,NVDA,FY,16675000000,6279000000,10396000000,3924000000,0,0,1940000000,0,5864000000,12143000000,57000000,184000000,1098000000,5691000000,4532000000,-123000000,4409000000,77000000,4332000000,0.2597901049
