date,symbol,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2024-12-31,XOM,FY,23187000000,0,23187000000,43681000000,0,25122000000,91990000000,294318000000,0,19967000000,19967000000,47200000000,0,0,361485000000,0,453475000000,0,4955000000,0,0,65352000000,70307000000,63820000000,0,39042000000,9700000000,112562000000,0,0,182869000000,0,0,470903000000,-14619000000,-185678000000,270606000000,277507000000,453475000000,6901000000,453475000000,47200000000,68775000000,45588000000
2023-12-31,XOM,FY,31568000000,-29000000,31539000000,38015000000,25120000000,1935000000,96609000000,214940000000,0,0,0,47630000000,0,17138000000,279708000000,0,376317000000,31249000000,3995000000,3189000000,0,26883000000,65316000000,37483000000,4514000000,24452000000,36528000000,98463000000,0,3838000000,163779000000,0,17781000000,453927000000,-11989000000,-254917000000,204802000000,212538000000,376317000000,7736000000,376317000000,47630000000,47709000000,16141000000
2022-12-31,XOM,FY,29640000000,0,29640000000,41749000000,24435000000,1807000000,97631000000,204692000000,0,16951000000,16951000000,49793000000,22874000000,-22874000000,271436000000,0,369067000000,33169000000,634000000,5214000000,-57983000000,30028000000,69045000000,44752000000,12383000000,22874000000,29923000000,97549000000,0,5582000000,166594000000,0,15752000000,432860000000,-13270000000,-240293000000,195049000000,202473000000,369067000000,7424000000,369067000000,49793000000,41193000000,11553000000
2021-12-31,XOM,FY,6802000000,0,6802000000,32383000000,18780000000,1189000000,59154000000,216552000000,0,18022000000,18022000000,45195000000,20165000000,-20165000000,279769000000,0,338923000000,26623000000,4276000000,5497000000,0,20247000000,56643000000,47382000000,21287000000,20165000000,39050000000,106597000000,0,5715000000,163240000000,0,15746000000,392059000000,-13764000000,-225464000000,168577000000,175683000000,338923000000,7106000000,338923000000,45195000000,47704000000,40902000000
2020-12-31,XOM,FY,4364000000,0,4364000000,20581000000,18850000000,1098000000,44893000000,227553000000,0,16789000000,16789000000,43515000000,18165000000,-18165000000,287857000000,0,332750000000,17499000000,20458000000,4092000000,0,14314000000,56363000000,51311000000,25668000000,18165000000,42781000000,112257000000,0,5809000000,168620000000,0,15688000000,383943000000,-16705000000,-225776000000,157150000000,164130000000,332750000000,6980000000,332750000000,43515000000,67640000000,63276000000
